Mixture,Other,Hepatocytes,Proliferation,vSMC,Stellate cells,CAFs,Pericytes,P-value,Correlation,RMSE
RK280_Liver,0.4571863129699,0.242308276073726,0.0042515587398076,0.0200935149657266,0.134691918068303,0.0586600217958789,0.0828083973866576,0,0.982215776458983,0.365165290079678
RK226_Cancer,0.62703785693338,0,0.111134161080329,0.0331977060886958,0,0.223082396246727,0.00554787965086748,0,0.772476882210671,0.909229668232157
RK007_Liver,0.278802312432164,0.559694142146627,0.043729215564862,0.031394485271018,0.0448640347431546,0,0.0415158098421751,0,0.991946846975911,0.51819618087572
RK004_Liver,0.652931621386955,0.0796497871129501,0.0546684314861173,0.013352420021242,0.143675565851849,0.00924263022514083,0.0464795439157466,0,0.865791360718234,0.77334106424246
RK119_Liver,0.428698842370696,0.330923887712337,0.0468426604768587,0.0586871246973796,0.071199054104519,0.0494710121325799,0.0141774185056292,0,0.971320375601173,0.25203720980557
RK191_Liver,0.568966667765489,0.288409132068471,0.0120627691505629,0.0166025524873641,0.0751140339583731,0.0117371931257763,0.0271076514439639,0,0.962646215489104,0.318463966081353
RK081_Liver,0.394877210413369,0.427385201497385,0.00213815293450963,0.0456227543903748,0.105581924371779,0,0.0243947563925824,0,0.984244658406647,0.248876549890806
RK172_Liver,0.472844354953588,0.361821711282582,0.0104807883209116,0.00621244681979489,0.0832391937774877,0,0.0654015048456356,0,0.981914353242215,0.195385278122363
RK041_Liver,0.436437508106903,0.332741822110709,0.0206923619613831,0.0721724882408485,0.0861272071029994,0.0518286124771566,0,0,0.922892994332608,0.387759048343901
RK214_Liver,0.362047522015852,0.538442833324346,0,0.00537974843636144,0.0344833117321027,0,0.0596465844913381,0,0.979462801455833,0.505873243092326
RK125_Liver,0.483942724815075,0.333433163276104,0.0471094005330057,0.00535864081420606,0.072167524924781,0.0172056397156004,0.0407829059212277,0,0.981108809437249,0.210571095105964
RK159_Liver,0.321534934088346,0.534549840854764,0.0395319272707246,0.0392171907483375,0.0347945397105497,0,0.0303715673272781,0,0.9894063467665,0.465346321499906
RK197_Liver,0.276018134753113,0.521397253913663,0.0367963790906395,0.0471003985543583,0.0436897259431246,0.0436721883545609,0.0313259193905405,0,0.98093266204689,0.456467180984157
RK071_Liver,0.396537401265192,0.367542776433587,0.0356913997099617,0.0370227614395604,0.105777586644278,0.0254795782679927,0.0319484962394288,0,0.97066548598637,0.246453362275795
RK262_Cancer,0.710310177155079,0.065329213238431,0.174046366889419,0.00775839229832212,0.00955208213743088,0,0.0330037682813174,0,0.873311822834056,0.788834950240563
