Mixture,Other,Hepatocytes,Proliferation,vSMC,Stellate cells,CAFs,Pericytes,P-value,Correlation,RMSE
S1N,0.584692909112536,0.312823342135966,0.0102543869136732,0.0343785131258234,0.0420012872282517,0.00349277968320682,0.012356781800543,0,0.607767877254099,0.794523153391681
S1T,0.632225599401854,0.25852065734819,0.0420105714856511,0.000831465232517617,0.000917821912998741,0.00629144243375992,0.0592024421850288,0,0.568124404541573,0.824146835180599
S2N,0.592293354469151,0.241580714413195,0.00383910084191673,0.0389659465692054,0.0691765976625962,0.0505301989043038,0.0036140871396323,0,0.650954250887157,0.774830065243052
S2T,0.577277895804085,0.226109031297967,0.0762940247005575,0.0293121904476912,0,0.0169060528652599,0.0741008048844392,0,0.57004573540896,0.828024810723967
S3N,0.514122742799252,0.299153709102928,0.0114358177497906,0.0660532941811228,0.0428486704585174,0.0663765741036471,9.19160474220881e-06,0,0.616223955000523,0.789184499913426
S3T,0.531899526344378,0.171850821181616,0.118976614486448,0.00369260696026787,0,0.0811154453192491,0.0924649857080413,0,0.547065802223753,0.850808517905884
S4N,0.663105640461691,0.250308995722092,0.0143514621767775,0.0205174000145357,0.0292658711573219,0.0150276532916471,0.00742297717593515,0,0.583476033353988,0.815125080215909
S4T,0.590455682049644,0.0131652477461552,0.116587297375685,0.018793916409147,0.0114288196667477,0.185496752990413,0.0640722837622085,0,0.548160004073189,0.872439957853246
S5N,0.637898379364099,0.272096117133123,0.012572661888556,0.0277618372466606,0.029193274378557,0.0150313903381385,0.00544633965086626,0,0.618716391107562,0.789371796430408
S5T,0.602169947344429,0.078404944481986,0.230331382749708,0,0.00333515558087891,0.0191298811495946,0.0666286886934042,0,0.516186934023863,0.877103502214679
S6N,0.566445362398645,0.284153722995335,0.0190236213669139,0.0408231812915177,0.0396934665898102,0.0342239539072487,0.0156366914505302,0,0.605416394804331,0.797806035791268
S6T,0.480594950840494,0.156098072046371,0.141107646692787,0.042466291976805,0,0.124981175784911,0.0547518626586317,0,0.564818387226544,0.847236359740746
S7N,0.622059750801935,0.265881828383034,0,0.0280394227076692,0.0766894316660137,0,0.00732956644134752,0,0.622809908637708,0.787385963123541
S7T,0.516822071635428,0.163419169114566,0.233438069913304,0.0208325944594135,0,0,0.0654880948772882,0,0.545001198105254,0.851917834828354
S8N,0.607917961852168,0.275079238389798,0.000805360039381846,0.025249391451481,0.0612139171218087,0.0136182213043687,0.0161159098409938,0,0.612553299078795,0.793359516966651
S8T,0.425586229271786,0.215671163162805,0.176488659774686,0.00561292066268131,0,0.0509966653908647,0.125644361737177,0,0.533380271931604,0.850328444508881
S9N,0.525878262704655,0.307753457073102,0,0.0162808460872969,0.0809474764875595,0.0507748168495806,0.0183651407978058,0,0.638558133343358,0.771534271089495
S9T,0.559571345476749,0.160711211859228,0.201758145404453,0.00705130352695367,0.00183028657005058,0,0.0690777071625658,0,0.544923173550386,0.852398423286132
S10N,0.528858605404722,0.215495772393943,0.0146325572239394,0.0941865987409122,0.0545520424162609,0.089749689370477,0.00252473444974587,0,0.579398182877655,0.824441056683667
S10T,0.484078036657268,0.309104959857592,0.13061452686516,0.032896289235531,0,0.0139647674433122,0.0293414199411368,0,0.545073034095005,0.839537574493805
S11N,0.543542412986515,0.306536946435955,0.00979672010234201,0.046975652167575,0.0658981551419489,0.0272501131656637,0,0,0.608936888702085,0.793963536244578
S11T,0.596049511703611,0.150839416954225,0.0916072491173346,0.012106624502989,0.0127217916170433,0.0828349480580758,0.0538404580467214,0,0.594076909201658,0.834053433916702
S12N,0.578176622379409,0.268919454229325,0.0149702249643,0.0375621265797994,0.0486920627607468,0.0432791033163412,0.00840040577007843,0,0.624940430656897,0.786323624618578
S12T,0.59790278244715,0.160595389447939,0.188313231916416,0.00390037312333532,0,0.0238805358595448,0.0254076872056149,0,0.563518098958723,0.843050625205801
S13N,0.599728403641502,0.299798770754462,0.0116790811703733,0.044149883125549,0.0370373529456882,0.0076065083624253,0,0,0.597308421279278,0.802364737388657
S13T,0.67354548353054,0.106358270579691,0.122282247184266,0.0253825165446887,0.00276896467747355,0,0.0696625174833407,0,0.451630058003183,0.900130497797383
S14N,0.558130266244644,0.290080982314544,0.0176095781068593,0.0271219772533468,0.048824994251235,0.0384513868642566,0.0197808149651151,0,0.613661675394829,0.791477410918841
S14T,0.564450256345788,0.213712890413267,0.107990813111864,0.0337490072750436,0,0.0407062779256208,0.0393907549284162,0,0.592693092440344,0.818125619935368
S15N,0.52032468863151,0.293383620769958,0.0169473992480344,0.0634932664902981,0.0479167675244073,0.0562797069981436,0.00165455033764821,0,0.620978277331712,0.786278095919002
S15T,0.569220411867998,0.164421802696585,0.0720028430822348,0.0528643292055171,0,0.0560895418234212,0.0854010713242438,0,0.583688700611946,0.835838640851008
S16N,0.583814333660911,0.198505817680806,0.00169336956580898,0.0749200712807471,0.054983079304494,0.0711271637565544,0.0149561647506787,0,0.636431631364404,0.797153477720488
S16T,0.495431495814745,0.213244798519446,0.153338191431003,0.0267043282846326,0,0,0.111281185950173,0,0.508523744226084,0.863304584870873
S17N,0.584841339157365,0.319345910760534,0.00614594937866146,0.0457757944363479,0.0272480426651638,0.0166429636019274,0,0,0.596395938040267,0.803138972476851
S17T,0.518911399171126,0.227910334494055,0.151463165970392,0.00334104004170323,0,0.0182153149700979,0.0801587453526258,0,0.542941111351465,0.843018141491846
S18N,0.604356470871723,0.285737349053026,0.00582869070151231,0.026105568320584,0.0460989850796024,0,0.0318729359735523,0,0.60827907562624,0.795354064649508
S18T,0.550890800158919,0.218934942453789,0.114445953581764,0.011473117933931,0,0.045893948916602,0.0583612369549952,0,0.551723055532818,0.839422731027033
S19N,0.554247878007827,0.338611713838447,0.00168522031540911,0.0398504020198943,0.049928924724029,0.015675861094393,0,0,0.610571661536911,0.793248001415793
S19T,0.627997135130334,0.140632573754181,0.0635950367322441,0.0392859597317116,0.0159600706737557,0.107364501712807,0.00516472226496705,0,0.599795085689497,0.834045524482663
S20N,0.628491798879924,0.243810621925279,0.00809741076296497,0.0337521945339046,0.0613556849985518,0.0179960885505092,0.00649620034886703,0,0.613626872070445,0.797601139395954
S20T,0.620390816595487,0.0993570082588758,0.148300808764367,0.042281643306126,0.0035742718703682,0.0432160270648679,0.042879424139908,0,0.555095450057372,0.862218336970905
S21N,0.669202939812027,0.249836247409334,0.00684903353344174,0.0330337069112153,0.0410780723339818,0,0,0,0.608008891318039,0.799551013946633
S21T,0.478673596210406,0.207352460040758,0.237534188434551,0,0,0,0.0764397553142854,0,0.513490233364164,0.860638397890022
S22N,0.509051411783081,0.317915904354253,0,0.0305395850740013,0.0837140882759877,0.0449727829311069,0.0138062275815699,0,0.652135809067077,0.760351238579637
S22T,0.574315377566453,0.118752791712794,0.108092230509117,0.00883543977666475,0,0.141016620794468,0.0489875396405027,0,0.60871792853848,0.836461457889127
S23N,0.517853292249184,0.289651671990333,0,0.0551758013625796,0.0584318735424608,0.0788873608554423,0,0,0.643662687246905,0.77014578429541
S23T,0.664471827001796,0.120175140768178,0.0772566227913391,0,0.00492116150390874,0.0740371602453836,0.0591380876893946,0,0.616563574771535,0.831376650401427
S24N,0.609071501657725,0.30046136617949,0.00798126461318401,0.0192649904113526,0.0400985397879639,0.010988190329994,0.0121341470202903,0,0.635812117048506,0.773915356751529
S24T,0.47310475944568,0.24969435293825,0.13866816075679,0.0182621076716725,0.017581910362238,0.0034280217078984,0.0992606871174714,0,0.614377733266468,0.798613063370187
S25N,0.565080663161566,0.239745695227328,0.0201182372425124,0.0634831020015159,0.0652263377811776,0.0463459645858995,0,0,0.615987852599511,0.797898170381464
S25T,0.649583110694841,0,0.070553124853731,0.041636531529893,0.0197567617894298,0.202133607432577,0.0163368636995282,0,0.594796779969276,0.855362316817957
S26N,0.560279604433001,0.247063962816667,0,0.0421704437195946,0.0778856779047558,0.0634007004019382,0.0091996107240434,0,0.652070883419468,0.77269261993688
S26T,0.570643480901142,0.0828096625027628,0.144317121064016,0.023520472847866,0.00412930333759285,0.109538525593559,0.0650414337530614,0,0.592808109220261,0.85185143142334
S27N,0.561724552924056,0.210940286609851,0.026544190728102,0.0468696381191044,0.0497632899112922,0.0878507830932103,0.0163072586143836,0,0.647880463809747,0.787471458382298
S27T,0.565429314076961,0.131551740344657,0.105672100309711,0.034814261994234,0.00837816055365391,0.117173367846535,0.0369810548742482,0,0.634049553596723,0.823267201424843
S28N,0.61700168940614,0.286886109717194,0.0106131173152941,0.0278898754619531,0.0307049579487838,0.0239129825117528,0.00299126763888299,0,0.609806081638345,0.794030445105372
S28T,0.488566609611558,0.179913685192603,0.140336581239162,0,0,0.108116796881492,0.083066327075185,0,0.534209065764742,0.855327760446436
S29N,0.581704679215567,0.265006953297768,0.0186086897714461,0.0402231159648113,0.0456683174393166,0.0218032634045797,0.0269849809065115,0,0.577566312281496,0.818005537829571
S29T,0.53678587253375,0.0490429229468829,0.260324427819831,0.0257791473257204,0.0143575679215548,0.0262591069443661,0.0874509545078948,0,0.531805084053931,0.874885653474893
S30N,0.605461762993854,0.258426031796045,0.0106028603158459,0.0374951855875791,0.0738783970264635,0.00715930817440547,0.00697645410580718,0,0.606530059391334,0.799672984525115
S30T,0.606788637384828,0,0.0319924563014963,0.142720981318251,0.0690150208720469,0.128785748009078,0.0206971561142995,0,0.591936260716617,0.852276663327429
S31N,0.615741022238875,0.305743969006848,0.0121805828737105,0.0301342158322943,0.0332727391605353,0.00195736034407732,0.000970110543658828,0,0.615838960648158,0.788470699201351
S31T,0.620192586835098,0.0686143946211142,0.181697744248984,0.00848207196194142,0.00242329723541812,0.0483070810107797,0.0702828240866641,0,0.534038145594255,0.873698490437211
S32N,0.580695281322917,0.289441681693739,0.0156480050739572,0.0326554746028849,0.0460422235736563,0.0231520208198265,0.0123653129130189,0,0.621424013438725,0.785889394821535
S32T,0.486855028485554,0.16256455218032,0.184469238206847,0.0181764232568131,0,0.0351923815779589,0.112742376292507,0,0.539798244044015,0.856240546068268
S33N,0.581809415152054,0.260221155226237,0.0118383831110667,0.0395631169953118,0.0545910885743518,0.0341377685646699,0.0178390723763092,0,0.622860895345483,0.789229453647717
S33T,0.467154232766372,0.20582289308785,0.222048009801392,0.0186486358642855,0,0.0278985364447313,0.0584276920353692,0,0.551641889775883,0.841667559460607
S34N,0.600571115551595,0.282586882107464,0.00543874691430329,0.0275651096113222,0.0534233589645276,0.0304147868507874,0,0,0.619432223925042,0.787757362320649
S34T,0.5259966470174,0.00665396879142184,0.202105043126456,0.0280106522745658,0.0173144598487352,0.198818530463871,0.0211006984775504,0,0.609838991585451,0.847989577681335
S35N,0.545762590604426,0.330888239630097,0.00163942327085126,0.0309247589112115,0.0552977944327068,0.0205726589195984,0.0149145342311093,0,0.612902361968073,0.790976085696438
S35T,0.652350678258001,0.114908031861763,0.12073653332075,0.0206254454352084,0.00231735437243022,0.0325512480469408,0.0565107087049063,0,0.543820199147362,0.862985474931892
S36N,0.569513925635684,0.338255110959486,0.00589924365901831,0.0287080291581822,0.048567836027099,0,0.00905585456053004,0,0.608782007235351,0.794640217486182
S36T,0.482972853245942,0.239903451703003,0.105065010502107,0.0495930123336951,0.011341482957076,0.0881256945973367,0.0229984946608403,0,0.576391083625303,0.823025356625207
S37N,0.531143886012391,0.30715147839528,0.00593458089942202,0.0568270561234236,0.0446008031805231,0.054067142294648,0.000275053094311705,0,0.607671801518443,0.794889665353015
S37T,0.591962305354219,0.136940226793852,0.117519828489031,0.00940942101764714,0.00516215468167523,0.0431796773909003,0.0958263862726755,0,0.572533908624138,0.84718980656151
S38N,0.636285073233111,0.274674575047813,0.00986831467167513,0.0321163896862384,0.0156432707627134,0.0204966331650529,0.010915743433396,0,0.587252215956226,0.810409999084554
S38T,0.576991185682428,0.156131260931051,0.0835039015021196,0.0330818194590959,0.0189576118055961,0.0874613005995537,0.0438729200201559,0,0.593831718061249,0.833331516869626
S39N,0.611402061887663,0.274190051029979,0.0140763368595601,0.0288419151572885,0.047007844728631,0.00874556124488097,0.0157362290919978,0,0.622362836748569,0.786884970265285
S39T,0.573138457425543,0.145686824042382,0.10738565869622,0.0256081182699747,0.005732685638242,0.0948549303764959,0.0475933255511424,0,0.588138505234738,0.838737513549971
S40N,0.550521851728696,0.305408404921031,0.0284105458658609,0.029238757990661,0.0358474555881471,0.0429613885462464,0.00761159535935766,0,0.602109380057634,0.798904898202432
S40T,0.566859943966837,0.0999660460832148,0.191858668975403,0.0224349175907232,0.000356213302635619,0.0789917402225778,0.0395324698586081,0,0.549544223177861,0.863906845079499
S41N,0.627212082710576,0.304727940754597,0.00908210118929529,0.0142790646823395,0.0262757139985391,0.00525441161621954,0.0131686850484331,0,0.610187541255472,0.792609938567106
S41T,0.547926840612397,0.267004408262509,0.0290261370861484,0.0501765811440072,0.0250521361429434,0.0457535998822097,0.0350602968697848,0,0.629263782479289,0.78446467116831
S42N,0.597232382909621,0.240035778276772,0.00697042138899725,0.0311179175118345,0.0697719151378788,0.0309735699729282,0.0238980148019687,0,0.642592488666622,0.780644924150429
S42T,0.623964009227587,0.0814102967875491,0.0539527022138412,0.0138216679914018,0.0297239305173077,0.122870924296834,0.0742564689654796,0,0.633034630797553,0.83501187815843
S43N,0.580724655118035,0.292845010572842,0.00115344563738618,0.0298602059737422,0.0773221883802573,0,0.0180944943177374,0,0.626403844122189,0.781783604046312
S43T,0.711839898846594,0.0263646719241143,0.122389406158195,0.0089975049599965,0.0033469505621054,0.0546901246892652,0.0723714428597297,0,0.586165558033994,0.858388498580723
S44N,0.562592564201963,0.268194488525373,0.0050211623792008,0.0365768559521997,0.0761803478792826,0.0336935064767826,0.0177410745851976,0,0.624039494709908,0.786872404681716
S44T,0.555817693894638,0.116151271522247,0.214455045678234,0.0275112482041923,0.00260193299966893,0,0.0834628077010193,0,0.494343484495018,0.882053880710908
S45N,0.615851593571555,0.220003607527727,0.00343651241380758,0.0174385730039436,0.0746336842419594,0.0614132051924686,0.00722282404853905,0,0.622241632975221,0.797448136470162
S45T,0.612781449637549,0.11399868586775,0.211130270011005,0,0,0,0.0620895944836957,0,0.564548775138916,0.851876522465661
S46N,0.605628675856968,0.302478590867902,0.0165097975407102,0.0102572923592332,0.030007131025972,0.0288537303227995,0.00626478202641455,0,0.617527263639183,0.787350699666879
S46T,0.560233784461575,0.248425730241753,0.100202720056708,0.00930103126871905,0,0.0512326974068534,0.0306040365643916,0,0.580161873390148,0.818451876503333
S47N,0.618463667045835,0.281657378896063,0.0132309129459221,0.0343922365575861,0.0281523064727827,0.0234849341837459,0.000618563898065049,0,0.610715365319714,0.793905578219108
S47T,0.584023044569271,0.0636598275941146,0.239746393950274,0.0032629964370625,0.00300446324164847,0.0191540877361673,0.0871491864714619,0,0.511691625341571,0.880559083035104
S48N,0.568200783503238,0.282043256572925,0,0.0337150071735556,0.0773187566463599,0.0387221961039219,0,0,0.639897616076327,0.773417364340003
S48T,0.661245737328276,0.125669102182784,0.146841194755067,0.000503957161384682,0.00122839398988784,0.0109979361652683,0.0535136784173326,0,0.574454785023439,0.846111324748988
S49N,0.595239972587414,0.299748131169099,0.00891233950380743,0.0262413981845396,0.033473949883814,0.0124217963461747,0.0239624123251513,0,0.613991236044528,0.790271276232603
S49T,0.648536361283157,0.0258812058149007,0.202716839025481,0.00351697005040169,0.00503791139932644,0.0735701662420147,0.0407405461847177,0,0.630066349491016,0.839431214484554
S50N,0.616307130231235,0.283428032443085,0.00684233728339711,0.0129917097370474,0.052486647705164,0.0126499944443543,0.0152941481557167,0,0.628148014168897,0.781339368271819
S50T,0.793684680010881,0.0218424485809848,0.116390034572833,0.000651039534015511,0.00213686405259756,0.0148787305448358,0.0504162027038526,0,0.578866465368919,0.858028978821699
