Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE,,T_Cell
098699N,0.102086983638903,0.037866551517199,0.688101181186787,0.036287071008889,0.040353273431049,0.034500383215383,0.046232212780314,0.014572343221476,0,0.807681436039723,0.60546635750895,,0.180306808587152
090608N,0.096455402569454,0.074093540627741,0.635799734155288,0.035263475068461,0.07930802081192,0.048548747365045,0.026575530461082,0.00395554894101,0,0.737187923873217,0.688811013311363,,0.249856964009114
81023N,0.104712924954624,0.002194468314015,0.585295367391505,0.042730518844439,0.058281019679268,0.006733306473896,0.180580550047936,0.019471844294317,0,0.822758922172283,0.610716737635226,,0.165188412947907
099535N,0.061852760713539,0.034778226726979,0.631334356930615,0.084090212096876,0.113809841300243,0.010435081950738,0.063699520281012,0,0,0.722633526926426,0.702986576519619,,0.21044082874076
11770N,0.052957776947712,0.049989813026402,0.562319022551068,0.087545635062738,0.06405043646551,0.039910312076283,0.130318125743492,0.012908878126795,0,0.838909205756549,0.610629780326342,,0.166998026439624
81032N,0.080651543365325,0.029035703847117,0.511569440295786,0.119899570135902,0.057102095034377,0.018396151530714,0.161263183791459,0.02208231199932,0,0.704508434453351,0.729570708830407,,0.166789342246819
85421N,0.116895236757948,0.056600988554192,0.557283315137776,0.048231553342019,0.054896678294428,0.017180904329168,0.12041067966558,0.02850064391889,0,0.839688348966275,0.601761219117018,,0.228392903606567
86279N,0.065198536799225,0.032772157917618,0.616896543949436,0.078390378055528,0.060924204222961,0.013314451125249,0.113843947312918,0.018659780617064,0,0.768060618558772,0.657616522594735,,0.158894898939804
86960N,0.08923448308307,0.05768778828504,0.629925962653235,0.050970845352685,0.007749010703384,0.022270341559837,0.12004796339163,0.022113604971119,0,0.828532482454983,0.591969360449254,,0.154671282071494
87823N,0.05452019220935,0.045689406276074,0.475511243929375,0.080367420238951,0.089239269153981,0.037404530922538,0.20682363689663,0.010444300373102,0,0.724036244278668,0.727914959689041,,0.189448867639404
88659N,0.059415944716119,0.053253606115212,0.587206443087196,0.055425010026788,0.093145316983918,0.023550407755419,0.116075377520202,0.011927893795147,0,0.757657978266247,0.676343374458918,,0.205814867815248
88674N,0.093190503002389,0.046116833905885,0.644429342808661,0.007165555652884,0.053495003920711,0.027666602075205,0.107882307341601,0.020053851292664,0,0.775065912149907,0.645111599121431,,0.192802340828985
88724N,0.101492220830837,0.077185285042466,0.646524085725692,0.022670993735212,0.00470390838933,0.038902031063214,0.069050326300196,0.039471148913052,0,0.791306531566525,0.622393976036153,,0.183381414262633
89290N,0.075001734081783,0.015565999353892,0.653945578030957,0.06609320107436,0.067664571022059,0.015443486623003,0.088103465136598,0.018181964677348,0,0.715198603860176,0.701993892187412,,0.158232304457734
96484N,0.105405646606781,0.018130067126817,0.673407331246173,0.044344945732918,0.032341193023734,0.019526411986853,0.094394168774499,0.012450235502225,0,0.711020004738646,0.705124883690797,,0.155876906757332
099535T,0.080292409803749,0.178734324072567,0.26217169663613,0.107766448330147,0.176863134047037,0.084976878421892,0.109195108688477,0,0,0.519589303198819,0.890399079208953,,0.435889867923353
090608T,0,0.302109009900648,0.122781124557177,0.112626823209224,0.233156560019016,0.158360789200477,0.065357073153274,0.005608619960185,0,0.262986639824567,0.97044291563507,,0.535265569919664
098699T,0.120377414388525,0.18975873533065,0.221537696789128,0.094226739261066,0.156819709898795,0.103017548904258,0.104945682347416,0.00931647308016,0,0.305896491102753,0.955397116591824,,0.46695585961797
11770T,0.020484371028558,0.156851371622199,0.076902375086111,0.180008398588806,0.161167258177548,0.084630863987458,0.319955361509321,0,0,0.550947987652524,0.897382369840096,,0.338503000828305
81023T,0.046409080187271,0.17622314646542,0.17094150898108,0.125766940351795,0.186691448465277,0.076744943138418,0.217222932410739,0,0,0.302375278499636,0.95834373779459,,0.409323675117968
81032T,0.101767675633342,0.119021240103121,0.14479505713807,0.045809610479327,0.326496581143028,0.096891072866904,0.161315128681282,0.003903633954925,0,0.435999753091996,0.931665500545972,,0.547285496879491
85421T,0.062499740307957,0.148766020194863,0.252938126326434,0.087677410169531,0.219926788636466,0.054723142502189,0.166962965789843,0.006505806072718,0,0.496539643622235,0.89486202759117,,0.431192549139286
86279T,0.060391154880531,0.171191416615691,0.198194449709547,0.091616839079221,0.209558865207777,0.095291481895424,0.17375579261181,0,0,0.455485771755387,0.917781718931618,,0.441141436703999
86960T,0.032554287762602,0.155647665839682,0.170682768099974,0.117898457802861,0.243885177943767,0.072493249836782,0.206838392714331,0,0,0.458866974580069,0.920042269447774,,0.432087131546051
87823T,0.097515730050145,0.121596519366589,0.093427158826232,0.183696944890457,0.044209108927426,0.11198751356365,0.3475670243755,0,0,0.521988269314046,0.897843784650812,,0.26332135834416
88659T,0.179925912281534,0.210185265251553,0.423304039310734,0.048589463298857,0,0.063409705856567,0.052368143983481,0.022217470017273,0,0.329677640181575,0.950817137702409,,0.390111177533087
88674T,0.052507809959497,0.121493952629914,0.064033946738808,0.12201352384173,0.165039981658368,0.027622047969287,0.447288737202396,0,0,0.647841058588777,0.851190387780332,,0.339041744247779
88724T,0.071723229259507,0.103237785284777,0.256403104307612,0.110198322644877,0.137788899254655,0.082129739074571,0.234920299989142,0.003598620184861,0,0.601808033953702,0.853317836892344,,0.312749913798939
89290T,0.105722679598043,0.218400179770721,0.193037264498268,0.052819086536941,0.237931597893045,0.081032131465256,0.101486211273428,0.009570848964298,0,0.585957994428168,0.885375756773068,,0.562054457261809
96484T,0.12065924752826,0.187436656336254,0.113801731801017,0.072185602170943,0.229908331426892,0.122602064816651,0.153406365919983,0,0,0.517112257990295,0.919857697451413,,0.538004235291406
