Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE,,T_Cell
GSM2480436,0.096467342000235,0.082476967099175,0.70598364495905,0,0,0.074003587895686,0.029911062946717,0.011157395099138,0,0.565763473693317,0.825972322226711,,0.17894430909941
GSM2480437,0.108129242432508,0,0.692735801979823,0,0.009985986235989,0.059730327551086,0.115266672987893,0.014151968812701,0,0.670930595546315,0.744930162048499,,0.118115228668497
GSM2480438,0.122291723755594,0.03101910851837,0.707667377220635,0,0,0.068106777648686,0.064669668034006,0.006245344822709,0,0.638022625374674,0.77057465401826,,0.153310832273964
GSM2480439,0.122626909565163,0.009391319967398,0.683919181622759,0,0,0.076488549720155,0.08888043063761,0.018693608486914,0,0.58618414272902,0.810642609821775,,0.132018229532561
GSM2480440,0.122942915019289,0.064218088714876,0.638274316097668,0,0,0.06451784044178,0.10003767064362,0.010009169082767,0,0.515643287120324,0.857813787561942,,0.187161003734165
GSM2480441,0.097108961094116,0.020864506587058,0.705730421518784,0,0,0.062996126390397,0.095594589174555,0.01770539523509,0,0.628951062329856,0.77813307475035,,0.117973467681174
GSM2480442,0.139932967966713,0.106154419931108,0.477557042841859,0.017128780383973,0,0.101589740655192,0.145761345655358,0.011875702565797,0,0.451754595210117,0.891972956713793,,0.246087387897821
GSM2480443,0.136201774240019,0.014038151972273,0.700112150004395,0,0,0.048143178038614,0.083989567488947,0.017515178255752,0,0.613447560473803,0.790071673910551,,0.150239926212292
GSM2480444,0.149063602685613,0.058918924542349,0.669139646116846,0,0,0.047642977745819,0.066308356955237,0.008926491954136,0,0.607995701511121,0.794460509890459,,0.207982527227962
GSM2480445,0.152351336015692,0.001794703809864,0.672269451179708,0,0,0.050054422299501,0.112664211201277,0.010865875493958,0,0.656267313124789,0.757998404746088,,0.154146039825556
GSM2480446,0.118242368284957,0.143284875688158,0.213316272252663,0.052993608302387,0.016851689939262,0.152037427333561,0.286735932152057,0.016537826046954,0,0.522563285596046,0.875943021140831,,0.278378933912377
GSM2480447,0.095180609235393,0,0.621450795614877,0,0.037736358799657,0.099014215765761,0.132257736486989,0.014360284097324,0,0.638966110700962,0.774095398035806,,0.13291696803505
GSM2480448,0.133143448742929,0.042536631126794,0.598399022698578,0,0,0.096490074232989,0.118638776682109,0.010792046516601,0,0.585611273642842,0.812357920955746,,0.175680079869723
GSM2480449,0.127528775599918,0.000226035782132,0.678225662010413,0,0.003223127582998,0.05653470855475,0.120880832999049,0.01338085747074,0,0.635941782914554,0.773281105683131,,0.130977938965048
GSM2480450,0.107540438786592,0.031252234856297,0.66026752719548,0,0.043359735659754,0.07877319237754,0.06054312718375,0.018263743940588,0,0.572779929800522,0.819852719137365,,0.182152409302642
GSM2480451,0.110280910444338,0.007087760301178,0.702420248538219,0,0,0.071568827826048,0.093339191097929,0.015303061792288,0,0.643476040946258,0.766618245495634,,0.117368670745516
GSM2480452,0.114022451830868,0.070513698793969,0.519826978669554,0,0,0.06516911177787,0.222365424351299,0.00810233457644,0,0.570719194689567,0.826123127789294,,0.184536150624837
GSM2480453,0.106208999257758,0.011774103784658,0.679702980084133,0,0,0.058279393939378,0.126023760453385,0.018010762480689,0,0.654888368079952,0.75870402785744,,0.117983103042416
GSM2480454,0.098883387127352,0.028510246001698,0.633148316357199,0,0.023434863951625,0.06053602364033,0.144942983470856,0.01054417945094,0,0.606094632780201,0.796918115091776,,0.150828497080675
GSM2480455,0.103294636794848,0.013790991345077,0.667010392627134,0,0.047936723903013,0.064594656488504,0.086864348909368,0.016508249932056,0,0.621082638755719,0.784937872683506,,0.165022352042938
GSM2480456,0.137443840875242,0.058755830888542,0.622756790153497,0,0,0.06251565642717,0.109819257328466,0.008708624327082,0,0.621644476452628,0.786937696156599,,0.196199671763784
