Mixture,Immune cluster,Hepatocytes,Fibroblasts,Endothelial Cells,Bi-Potent Cells,P-value,Correlation,RMSE
GSM362947,0,0.857934045432743,0.0404116394310292,0.0657463781320015,0.035907937004226,0,0.292076735966497,1.46248650748312
GSM362948,0,0.774578723222902,0.0826440045976321,0.0487443710561376,0.0940329011233285,0,0.705280019212817,0.905996922247111
GSM362949,0,0.679951539145562,0.0788595045259323,0.0582938970376089,0.182895059290897,0,0.662427449770785,0.882806524457166
GSM362950,0,0.701244958285193,0.103512754161233,0.040908258391271,0.154334029162303,0,0.740077691113887,0.792354753537358
GSM362951,0,0.891537546594729,0.0401393536522625,0.0436501773499538,0.0246729224030548,0,0.871067221335912,0.761878057585979
GSM362952,0,0.896762627222021,0.0159163976505313,0.0631305946459032,0.0241903804815448,0,0.918001191432077,0.674010476645796
GSM362953,0,0.923814100519167,0.0317773772914356,0.0366649471017588,0.00774357508763858,0,0.956377824455483,0.621710023402112
GSM362954,0,0.692433008470068,0.144689108652327,0.0431683050080023,0.119709577869602,0,0.731829751152121,0.794409943540022
GSM362955,0,0.880829765287813,0.0385678201976519,0.0431071601854003,0.0374952543291346,0,0.954905598455546,0.566946231655319
GSM362956,0,0.636171400513718,0.0799502126258975,0,0.283878386860385,0,0.0514832467670039,1.4318521213467
GSM362957,0.00714675199430424,0.901272200207372,0.0245596614196596,0.0485090972368343,0.0185122891418298,0,0.945362965837513,0.617218176976796
GSM362958,0,0.915632867031609,0.0142071191978139,0.0152973564058243,0.0548626573647534,0,0.858732477603286,0.818149761449488
GSM362959,0,0.826287018019502,0.0902089092811803,0.0417507638855022,0.0417533088138155,0,0.884302834878706,0.65834278410178
GSM362960,0,0.891385910002449,0.0415121996430012,0.039450863589435,0.0276510267651147,0,0.917855655195221,0.666880619102999
GSM362961,0.00160184369518392,0.945706758480589,0.0239805049767603,0.0236355643006139,0.00507532854685252,0,0.934862156768487,0.702179047897297
GSM362962,0,0.935010067099776,0.0250746499581333,0.0287693904190941,0.0111458925229963,0,0.929687578194265,0.698986571918569
GSM362963,0,0.94144934934898,0.0211774614614784,0.028455758033436,0.00891743115610542,0,0.930968915182576,0.705072101303683
GSM362964,0,0.873928201644062,0.0485434076236979,0.0475697194070191,0.0299586713252209,0,0.924551413768096,0.629429907766214
GSM362965,0,0.856207294829483,0.0720130499102121,0.0465777306693745,0.0252019245909307,0,0.913418246660905,0.631182924948803
GSM362966,0,0.879198728907443,0.0399022983315341,0.0297453804945579,0.0511535922664653,0,0.889194817754807,0.713073435206974
GSM362967,0.00240259807137861,0.952026501720088,0.0118104861907975,0.0269319996113882,0.00682841440634804,0,0.931904562627169,0.717902895346677
GSM362968,0.00505894707499745,0.881002033731108,0.0478901958529786,0.0421010469953049,0.0239477763456111,0,0.895288677453571,0.700690892917285
GSM362969,0.000232958769278504,0.929501826082722,0.0257545902634879,0.0375044263990954,0.007006198485416,0,0.93364112390469,0.682328422112636
GSM362970,0,0.888370330421399,0.0382283788967199,0.0584647525689889,0.0149365381128918,0,0.935076692632415,0.62347177348048
GSM362971,0.00200804570800563,0.87142966595187,0.0620695770067736,0.0412901620332904,0.0232025493000601,0,0.939295040967262,0.591093775529488
GSM362972,0,0.907616448934681,0.0395582675790129,0.0423634437829995,0.0104618397033063,0,0.849833281925704,0.820192482472061
GSM362973,0,0.940559780116391,0.0229162570946772,0.0295872309018912,0.00693673188704107,0,0.916418144643458,0.734574889151266
GSM362974,0.0152769806119945,0.897604079895355,0.0265089350307229,0.0487082310073729,0.0119017734545543,0,0.909443211230784,0.691905176756997
GSM362975,0,0.945158990098874,0.00574477744631181,0.0490962324548137,0,0,0.931508136354673,0.708789054691709
GSM362976,0,0.845200237793292,0.0665470420987449,0.0648506384346716,0.0234020816732913,0,0.852917610945679,0.740236462462703
GSM362977,0,0.952559666387391,0.0170771380002336,0.0195075773897201,0.010855618222655,0,0.917012263738062,0.750326124111239
GSM362978,0,0.926345822342529,0.0203160608954831,0.045273675358561,0.00806444140342674,0,0.913498654087491,0.721523700382323
GSM362979,0,0.932441226895175,0.0173279827087473,0.0406119037319405,0.00961888666413711,0,0.922664680367726,0.71062764407682
GSM362980,0,0.954478951696816,0.0160978140561524,0.0258452917362088,0.00357794251082242,0,0.927702721670119,0.730030490444772
GSM362981,0.002540997900839,0.845562013028649,0.0511807384479097,0.0546529466544364,0.0460633039681656,0,0.932282788093061,0.576415595173142
GSM362982,0,0.77111600347245,0.0392982495128328,0.0219058929132464,0.167679854101471,0,0.558846421681027,1.09527545878581
GSM362983,0,0.921482344681804,0.0129589746722988,0.00129809794977771,0.0642605826961191,0,0.792842504534618,0.938879233059927
GSM362984,0,0.88987725914495,0.0113590900155233,0.0910853863379816,0.00767826450154494,0,0.842061196633004,0.813127049301357
GSM362985,0,0.890893191731443,0.0400650407494042,0.0414911118075245,0.0275506557116283,0,0.91544965639461,0.671474260811305
GSM362986,0.0507748604314607,0.75657403559921,0.0382973509435692,0.045622366335731,0.10873138669003,0,0.804573307174081,0.737912185947663
GSM362987,0,0.829138309517424,0.061553615318996,0.0486429046613942,0.0606651705021861,0,0.580406822069626,1.12324208949015
GSM362988,0,0.862159846520529,0.00763087002900298,0.0382165215828505,0.0919927618676172,0,0.732420195832916,0.962863075993598
GSM362989,0,0.882630847092934,0.0682978814576159,0.0374645198350738,0.0116067516143766,0,0.919720313825056,0.649835744305656
GSM362990,0,0.916966106299635,0.0321304276566225,0.0328059490588102,0.0180975169849327,0,0.94121896321602,0.648557220453435
GSM362991,0.00268768689554444,0.698715342351631,0.115933050342729,0.106003333513709,0.0766605868963857,0,0.804498848479365,0.685841927982739
GSM362992,0,0.909376634717312,0.00418239953597555,0.041294102853097,0.0451468628936152,0,0.875177581310546,0.778892029398239
GSM362993,0,0.733992257405534,0.0699153431611842,0.0300064301129741,0.166085969320308,0,0.512034271185395,1.10874402816899
GSM362994,0,0.88788441701366,0.0285676678672509,0.0318762585977345,0.0516716565213542,0,0.811947133641407,0.864943772445072
GSM362995,0,0.821257194450905,0.0745804510203871,0.0673259350756167,0.0368364194530918,0,0.920862864156745,0.572881589677209
GSM362996,0,0.921066411492408,0.0123010406619814,0.0522199349133948,0.0144126129322163,0,0.911855484466577,0.718558692786272
GSM362997,0,0.933742992752962,0.0179795748174163,0.036799119753487,0.0114783126761344,0,0.92669982208285,0.703883955659396
GSM362998,0.0122860408970618,0.941735372835842,0.00222319268049499,0.0437553935866015,0,0,0.873761618252687,0.819918494305211
GSM362999,0.00644912202927626,0.947921161825479,0,0.0456297161452447,0,0,0.784428472793409,0.980440131642058
GSM363000,0,0.936549593416922,0.0122095833352901,0.0455606408746771,0.00568018237311096,0,0.924414945454322,0.712363793181091
GSM363001,0,0.960424426101996,0.0106517328281757,0.0188997941981602,0.0100240468716686,0,0.927576114117459,0.739337107746561
GSM363002,0.00737133833665642,0.758067242052488,0.0835069714527763,0.109346277047784,0.0417081711102959,0,0.883992698815286,0.587539027298865
GSM363003,0,0.954680691577136,0.0151711988105444,0.0202958698757552,0.00985223973656494,0,0.943578340016894,0.696313408486107
GSM363004,0.00252033319299755,0.895216254788252,0.0288414152820672,0.0532613138062145,0.0201606829304691,0,0.937534590921388,0.627465189295099
GSM363005,0,0.928192507190627,0.0175266721567841,0.0347819797841428,0.019498840868446,0,0.943708434962943,0.659002103602106
GSM363006,0,0.932734680122175,0.0147261272865188,0.0326409676335799,0.0198982249577261,0,0.942201793198931,0.668948214601155
GSM363007,0,0.772753349230581,0.102865603860254,0.0618810537298286,0.0624999931793363,0,0.881365927675197,0.608032880964857
GSM363008,0.0287880823939266,0.741716322796052,0.116168178606493,0.0567391353096369,0.0565882808938915,0,0.874804070887162,0.59057852388674
GSM363009,0,0.811066362163558,0.0672231015298606,0.0609011362124784,0.0608094000941029,0,0.585780035788862,1.09682854161598
GSM363010,0.0144885124029362,0.820661525272797,0.0599995374512447,0.0376538532064765,0.0671965716665462,0,0.0146706106715689,1.66002497157662
GSM363011,0,0.779540429343419,0.090041698610391,0.0422537400913807,0.0881641319548093,0,0.693544886615844,0.926762519272026
GSM363012,0,0.913185662282991,0.0315329289257366,0.0357648571340275,0.019516551657245,0,0.940117387413143,0.64597137766623
GSM363013,0.020261335886023,0.726109656689515,0.0886994925981473,0.0652848680161236,0.0996446468101906,0,0.788280796007881,0.735905863461545
GSM363014,0,0.785279299194559,0.0533381780161027,0.0556364950646347,0.105746027724703,0,0.570440198063227,1.09085904064082
GSM363015,0,0.747193042933126,0.0929627222307834,0.0483472987998972,0.111496936036193,0,0.911334309652988,0.519862749726333
GSM363016,0,0.900730171476504,0.0202926527204383,0.0733281974741393,0.00564897832891849,0,0.82352078108741,0.858065185695526
