Mixture,Other,Non-inflammatory_Macrophage,alpha-beta_T_Cells,Inflammatory_Macrophage,NK-like_Cells,gamma-delta_T_Cells,Mature_B_Cells,Plasma_Cells,P-value,Correlation,RMSE
098699N,0.774810480398079,0.0259203174858933,0.0489599007007394,0.0029206101468981,0.0351366573644883,0.0751290846832643,0.0371229492206372,0,0,0.791998883242298,0.69195874923208
090608N,0.591494006751069,0.0169089121825222,0.0387989725953993,0.0352942565762693,0.203428055889132,0.00559015727905743,0.0783630211076553,0.0301226176188954,0,0.717258603811985,0.717682310252279
81023N,0.655048089083013,0.105626678566285,0.0107430668276665,0.0285104201636192,0.081447122902254,0.066843151282862,0.0517814711743007,0,0,0.846827068035548,0.56107853489629
099535N,0.581199980933588,0,0.0552986529706899,0.0974911573321403,0.137819089113824,0.0563523414571697,0.0718387781925879,0,0,0.605484358049504,0.8363669149845
11770N,0.614538643001726,0.0921095213572032,0.0670704295653721,0.0262359534894954,0.0988090130023869,0.0648556443997233,0.0230749787150871,0.0133058164690061,0,0.622015739022441,0.836279886259932
81032N,0.578462455286215,0.0914007068694155,0.0103513057536537,0.063846326114209,0.0655564218897345,0.106867656909448,0.0631120319346129,0.0204030952427118,0,0.645207851234033,0.803892648749016
85421N,0.67696315572136,0.0975368013166579,0.0689128130839876,0.00190386196995684,0.0677331894094782,0.0387580282363198,0.0481921502622401,0,0,0.838540420225367,0.578594127619113
86279N,0.706812070320146,0.0698218730241751,0.00648278770750763,0.00325572626757575,0.0499684568836971,0.110468159451643,0.0531909263452549,0,0,0.641838116634408,0.858351932189093
86960N,0.723403232378586,0.0928572411516633,0.00525886388177157,0,0.0596312660521058,0.059282270123242,0.0595671264126308,0,0,0.760552210241859,0.719561495734202
87823N,0.482398843232511,0.129078711546981,0.0547895884286379,0.0678841196670666,0.0982453559671646,0.0829551546491276,0.042023698758679,0.0426245277498326,0,0.800762586499947,0.608726410555786
88659N,0.622185632322483,0.0756929375898545,0.0773799024520761,0.0348307985864969,0.0694475298021762,0.0710522967849922,0.0494109024619214,0,0,0.73358099682753,0.710528971468905
88674N,0.753959002544537,0.0836214922326065,0.0663047743232529,0.0174191426569545,0.0414196793287151,0.0362966479378549,0.000979260976078854,0,0,0.847773083976436,0.594994522256784
88724N,0.782701915495588,0.0469316757953729,0.00434167024456412,0,0.0661958235375361,0.0434312184253939,0.0563976965015453,0,0,0.685942950678744,0.848889273996106
89290N,0.689272300618054,0.0666533258025232,0.000365460923507459,0.021082381124506,0.0809120961361989,0.092711513471275,0.0490029219239358,0,0,0.81207911899165,0.624621417676244
96484N,0.752490788842837,0.0481825083382339,0,0,0.0858214721844886,0.075936364643969,0.0375688659904714,0,0,0.720164931142882,0.783782744359897
099535T,0.115896781764484,0,0.297536434194242,0.251595039026976,0.0750130171985036,0,0.0544871023532546,0.205471625462539,0,0.422094215412074,0.918896483686278
090608T,0.0686924157723094,0.0256625663828123,0.090404113011294,0.112981578029412,0.252852883606684,0,0.10200083129511,0.347405611902379,0,0.404798184335389,0.931977504372831
098699T,0.130284217997121,0.00931357222375054,0.130909968675904,0.258669852241076,0.143064353526712,0.0106352759480318,0.0588155196350693,0.258307239752336,0,0.608403179955824,0.793530553334178
11770T,0.0278220086413869,0,0.0703589455691245,0.471564621558071,0.00691805758538762,0.177986194939027,0.0757717754201938,0.16957839628681,0,0.76618053988616,0.644134932170396
81023T,0.0809051267700469,0.0676122278736195,0.171980056413907,0.252333609295256,0.13708641506876,0,0.107311157072328,0.182771407506082,0,0.388093231472965,0.947294215746702
81032T,0.0615725006165897,0.00894939596379171,0.290563463579224,0.347810522690573,0.0151103557592868,0,0.108945579116047,0.167048182274488,0,0.668831492684046,0.743947516557287
85421T,0.14250124756606,0.0446467138442115,0.205064143248603,0.228702478575303,0,0.123814930747374,0.081731394861605,0.173539091156845,0,0.734717843579468,0.694762588102659
86279T,0.0740992985705172,0.00438344397309324,0.185863201107666,0.347976021136274,0.07137521243984,0,0.126429622015361,0.189873200757249,0,0.546937069873738,0.842781552477999
86960T,0.0554419070471162,0.0477994890221118,0.170361458772842,0.298628381337623,0.120457057608643,0,0.109191912392197,0.198119793819467,0,0.439032956418093,0.918952371582552
87823T,0.0381188778458998,0.0252868993053644,0.205511397184718,0.402558864893703,0,0.104328769153734,0.016742042673116,0.207453148943465,0,0.745163839474331,0.66951992032173
88659T,0.327950189001258,0.0696324494293713,0.038287449957424,0.0792949878442286,0.116433330852636,0.069198691515911,0.0385407706225833,0.260662130776589,0,0.433199350561938,0.931310153364075
88674T,0.0195788010222587,0.0734359070448532,0.121570773120845,0.498489754530013,0,0.130749291825485,0.0149821087233187,0.141193363733226,0,0.801996433833437,0.597496698266966
88724T,0.123787790083356,0.0200990395707829,0.113631085550081,0.357662244590063,0.00413687384631129,0.0740104204753926,0.104126934486052,0.202545611397961,0,0.771711617632584,0.643869197625763
89290T,0.101621692020355,0.0068165617104186,0.268259458885344,0.275588722954094,0.0463882300297407,0.00784234535961274,0.0915143894612251,0.20196859957921,0,0.701948304925419,0.719811484896493
96484T,0.0396829305995206,0.0143213474345378,0.158625115341165,0.302451476732363,0.0562377091017136,0.0453811779276068,0.030783733441624,0.352516509421469,0,0.696279706779464,0.71797478641286
