Mixture,Other,Non-inflammatory_Macrophage,alpha-beta_T_Cells,Inflammatory_Macrophage,NK-like_Cells,gamma-delta_T_Cells,Mature_B_Cells,Plasma_Cells,P-value,Correlation,RMSE
301N,0.677688921696483,0.0200993283649182,0.0801783967400114,0.0259866719692245,0.0695585128104185,0.0428492270342217,0.0836389413847231,0,0,0.814263708982863,0.592006879047932
302N,0.780634318753294,0.0377336087511773,0.0426652994179425,0.0140924357838996,0.0334139467629548,0.0500682770466954,0.0413921134840362,0,0,0.79646739974912,0.617095700302497
355N,0.783410717838198,0.0205083476809615,0,0.00775340098035907,0.0822915797696885,0.0346819127926515,0.0713540409381412,0,0,0.76851712417802,0.651650468333786
356N,0.672555017106192,0.0413278384861582,0.0569287569629406,0.0211766374392714,0.0912338571355093,0.0461496050720655,0.0706282877978631,0,0,0.680237076444448,0.741718693619759
304T,0.798336387665079,0.0271481329652599,0.0565260602169233,0.0127467434307029,0.030575616240972,0.0302819825914636,0.014897785335633,0.0294872915539658,0,0.907593984071189,0.439440529754625
305T,0.33050262656521,0.0508367864460146,0.0923554045375345,0.112024428568667,0.0873286548166015,0.141314005381776,0.0271507481073182,0.158487345576877,0,0.403914379313709,0.934266630224815
353N,0.768152679332533,0.00434589276190672,0.0156186500260985,0.00624284098515043,0.0797022783347722,0.0497942305244196,0.0761434280351197,0,0,0.824428636322172,0.576073808865742
307T,0.358785024588491,0.0976803083109884,0.0690601622214886,0.0560099484025099,0.125595883716003,0.0686822036254143,0.111105635073032,0.113080834062072,0,0.636069620394609,0.772794178764342
308T,0.682783272565875,0.0274174201208586,0.0713120334659212,0.0149952609546409,0.0581953388756971,0.0368136381163815,0.0600775469456504,0.0484054889549758,0,0.810965907962443,0.595317573290826
309T,0.453041213182172,0.0671512682958844,0.132320928628943,0.0325133127317789,0.108292357755148,0.033624533327388,0.0971478675942758,0.0759085184844096,0,0.688599416116123,0.730383882597337
310T,0.50831435814858,0.0462019061406705,0.126357831825569,0.105870970160294,0.0919847819871879,0.0169384605551153,0.032934366925207,0.0713973242573758,0,0.861081306285866,0.541530090788801
311T,0.433125655145422,0.0713407435366049,0.149222897353833,0.107356778894764,0.0915608690753127,0.00182573181075077,0.0444779686714869,0.101089355511826,0,0.831513489682725,0.580522494105529
312T,0.528577538449712,0.072003825110394,0.169712952577953,0.0087334633774723,0.0235184565223567,0.0367380272090949,0.0785817151052144,0.0821340216478025,0,0.844410140022076,0.566473662264632
314T,0.581651095506106,0.0193601579207658,0.0458855753365622,0.0144634685321341,0.123942613835061,0.0807935222113076,0.0125713631156517,0.121332203542412,0,0.776050236978534,0.644258776367568
315T,0.566839296660632,0.0342555094489843,0.0434175636243678,0.0390543412521927,0.0961336622735893,0.0669956188538424,0.0145353171149262,0.138768690771466,0,0.764386324839365,0.653759294479752
316T,0.510174590578579,0.0630107165317692,0.0875326596503344,0.048644588194788,0.082449430187538,0.0344606140814348,0.0404056326952681,0.133321768080288,0,0.838947907656725,0.569814935278473
317T,0.449157083660343,0.0790630544462582,0.141510215217236,0.096482377127465,0.0275596150705728,0.0848389908329362,0.0488781527987548,0.0725105108464342,0,0.840222046079886,0.568221089894732
319T,0.47871289857211,0.0037086740603908,0.0735899782885001,0.0693254134758575,0.0679585204752763,0.121485164592878,0.110045013974185,0.075174336560802,0,0.594136128328463,0.805929505582171
320T,0.35179408544532,0.0375582214250245,0.167183900451578,0.191577874410867,0.0887114469447553,0.0491389209754433,0.0195831350960977,0.0944524152509139,0,0.823104869910694,0.600219410871795
321T,0.272258381033227,0.00919174806747745,0,0.097723844772372,0.131872188930501,0.182706037968654,0.193713587101553,0.112534212126216,0,0.27179378960993,0.979902053738678
322T,0.490955946578818,0.0701229596312556,0.0786488048709116,0.0278007620498205,0.102103603802106,0.0680570988203416,0.0665812814041491,0.0957295428425974,0,0.588797710790934,0.813155923724529
323T,0.371819959377313,0.00872186877823237,0.196002447482887,0.161896550737767,0.106862824173673,0,0.0137152252036836,0.140981124246444,0,0.818857655257555,0.618108004931395
325T,0.597480248422285,0.0433546572530301,0.0796222667491866,0.0861461012997292,0.0589257223956575,0.0808991368118337,0.0535718670682778,0,0,0.889102976628394,0.491634094705596
326T,0.365558168876994,0.170391489421535,0.0514510082838045,0.0758869101763009,0.0939024536681266,0.120395451880927,0,0.122414517692312,0,0.829828239319671,0.565047375280966
327T,0.54321981201886,0.087879812390452,0.0775834392156004,0.0289249772339799,0.136771236573953,0.0296073187350641,0,0.0960134038320905,0,0.884948767251792,0.499073631404944
328T,0.693122433207384,0,0.0430685430337106,0.0455003188951449,0.0587736663647168,0.0466849969858304,0.0479368982042254,0.0649131433089875,0,0.793346602566665,0.617659606520997
329T,0.334939568462677,0.100095328649541,0.182254231447778,0.0803884274031806,0.0723734010979178,0.0140611364004635,0.0617646223992241,0.154123284139217,0,0.674289242694855,0.740296404180417
330T,0.230680890340126,0.0962292295254326,0,0.0898129579836396,0.150885165423997,0.114552245116441,0.0718033131269541,0.246036198483409,0,0.822580733785887,0.60870231524503
332T,0.400069572567535,0.0840253432825117,0.136651172810183,0.0942931575589442,0.10313354918382,0.0406109938000251,0.0612766178854845,0.0799395929114963,0,0.898162005909141,0.507298868751184
333T,0.631124126187138,0.0339469628343348,0.10788093495638,0.0919079226619226,0.0340761161155106,0.0400911042076347,0.0271542088558699,0.0338186241812095,0,0.777419647560801,0.6356207251502
334T,0,0.00433024123600456,0.15444995802328,0.319314772973245,0.0822294524081297,0.180568457732355,0.0285003972067271,0.230606720420259,0,0.687445747813929,0.733803581768074
335T,0.596883169568584,0.0276893035449618,0.0858049338318338,0.0625310507535499,0.11925673056357,0,0.0269242107688499,0.0809106009686509,0,0.796906546755306,0.615636718182814
336T,0.776887605290806,0.0300041603230718,0.0894164032970828,0.0138355306620231,0.0500223371742521,0.0152781017897242,0.00702286579679583,0.0175329956662444,0,0.790608737631266,0.624664303881898
337T,0.367192927040648,0.0997459412378376,0.101895153406896,0.126940175150669,0.107127762110159,0.018434145397532,0.0574507002356305,0.121213195420628,0,0.848470166499819,0.554649454372588
339T,0.672052812269749,0.0023057997922828,0.0865026312815456,0.0389461209796676,0.0192667545754896,0.0732866005335197,0.030145887736032,0.0774933928317138,0,0.831387563033983,0.571164545621636
342T,0.532094298731153,0.0194680277453932,0.0856024492029493,0.0942935711682683,0.0819187528830395,0.0660672570634472,0.0589164552059039,0.0616391879998453,0,0.797868693837725,0.621833756970531
345T,0.551323060126198,0.0356288240551344,0.205360722230289,0.0551967368266743,0.0729488030489954,0.0253499085677423,0,0.0541919451449663,0,0.842604589541035,0.568547195573487
346T,0.293351867411736,0.0902095504218495,0.135500272678449,0.163025586566663,0.0481712151246408,0.114439939324994,0.0826853201955303,0.0726162482761387,0,0.89355418132834,0.513575708925707
347T,0.47541811483419,0.0482372162652681,0.102147824329434,0.160711763711806,0.0877858204168466,0.0222332208214529,0.0282790305501015,0.0751870090709016,0,0.820407006645228,0.58666161273541
348T,0.572412163400934,0.015879788515856,0.0679020084873671,0.0628410603585619,0.0647123578021573,0.0702896784087726,0.0631743099993543,0.0827886330269964,0,0.813907868225657,0.601769095439755
349T,0.645864992905802,0.0306405025924251,0.0976897215717677,0.00949118134348357,0.0433107813575639,0.0474008281438927,0.0542853710789851,0.07131662100608,0,0.81918426205257,0.587691463804704
350T,0.69365980670562,0.0539841153132363,0.0860697946404714,0.0265939856069483,0.0679471213839515,0.0229668978180732,0.0487782785316997,0,0,0.860589310983372,0.523263737146822
351T,0.540037006112442,0.0444315116888666,0.0927058623029901,0.0910331459070384,0.105648564358841,0,0.00825158614951912,0.117892323480303,0,0.773827788925674,0.641204101245757
352T,0.11840089972428,0.024857066558531,0.123086748147094,0.233349642194451,0.0877694444688987,0.137459001683941,0.0747649675742784,0.200312229648525,0,0.824707445012501,0.626894924921026
353T,0.340978854621914,0.0720602295094552,0.228062629985821,0.0534387598120698,0.0795915767209073,0.0478935646221409,0,0.177974384727691,0,0.577325973476067,0.817536935043102
354T,0.31713228205631,0.0528254657432102,0.233853690116402,0.109819173507228,0.0877561259849763,0.00358442220340303,0.0530433356241674,0.141985504764304,0,0.864217239133353,0.580202737673059
355T,0.545335757186705,0.048471041280234,0.101298038468556,0.0536591100725082,0.082673070907363,0.0238140440820954,0.0999747155289563,0.0447742224735811,0,0.678412075389117,0.737647345035006
356T,0.472976244060422,0.0966539983375492,0.286063082204777,0.0197897179033104,0.0609019019122086,0,0,0.0636150555817323,0,0.832160259645096,0.581142342323471
357T,0.551124333559931,0.0346063008068117,0.130713900826397,0.0206602508201285,0.0678131708584773,0.0403945169456897,0.0590460600876448,0.0956414660949194,0,0.747896382665624,0.673514884630808
358T,0.527802808905889,0.029908623171537,0.171519380443653,0.0563688879950975,0.0382964327039818,0.0724485843983986,0.0237948015794918,0.0798604808019518,0,0.555662982387262,0.839667041296584
359T,0.381767502069598,0.0936967727061968,0.173718724626179,0.128138822428546,0.0547756484850258,0.0641090923750836,0.0261005061040877,0.0776929312052825,0,0.86629585904455,0.534455118221671
360T,0.322228646533922,0.0805527446928321,0.225581849572924,0.12136864819258,0.0153505691339848,0.0299066662433865,0.071654513944279,0.133356361686091,0,0.509891537210764,0.869364958704369
361T,0,0.0539312341903696,0.217631182640907,0.236237190971626,0.0331159988844941,0.164140204952406,0.0369023310515271,0.258041857308671,0,0.610883347318316,0.79176766499919
