Mixture,Other,Non-inflammatory_Macrophage,alpha-beta_T_Cells,Inflammatory_Macrophage,NK-like_Cells,gamma-delta_T_Cells,Mature_B_Cells,Plasma_Cells,P-value,Correlation,RMSE
S1N,0.63262069248147,0.073557098302348,0.105423869999026,0.00506231785249864,0.100284165689074,0.00788462323922045,0.0083868538005865,0.0667803786357757,0,0.820046099801268,0.589713180971553
S1T,0.547554223612447,0.0156452920996214,0.169084869070666,0.0581627385217545,0.0735900793414066,0.00529477383182672,0.0306780490084067,0.0999899745138709,0,0.765332321985585,0.655100668583169
S2N,0.519589840794347,0.0677171085609058,0.13905613261979,0.0987631760445187,0.0685571906906774,0.0222728033578922,0.0346435709649767,0.0494001769668912,0,0.84042076712394,0.575380858638288
S2T,0.506639212361726,0.0246427768226315,0.114261134097327,0.0790802049091099,0.127151499157755,0.00280594070210837,0.0159886400404898,0.129430591908852,0,0.755520443210227,0.667935866743424
S3N,0.60705711600671,0.00770796427968818,0.137662269488578,0.0714072489946056,0.070510687316364,0.0147453533847677,0.0502867115416352,0.0406226489876515,0,0.810235750314897,0.600167960801341
S3T,0.405025348421069,0,0.137271086423835,0.103840511987219,0.133457396998238,0.047757982942479,0.0248689332971034,0.147778739930057,0,0.726639512185085,0.702967981514519
S4N,0.550412089249098,0.0712329187066423,0.115641212190277,0.0399524368382515,0.105697255893355,0.0155786890537302,0.0304526134961711,0.0710327845724752,0,0.808659548072753,0.608272079050017
S4T,0.0802487077512587,0.0412272598718631,0.123349074628181,0.321258441015394,0.0664397947494727,0.180949562163137,0,0.186527159820694,0,0.623776918741603,0.784810281531162
S5N,0.580388367113978,0.0663031546276808,0.106236642925137,0.0365671045844155,0.120125207737877,0,0.0328137967036039,0.0575657263073071,0,0.821614868223596,0.589600447507275
S5T,0.259562807110126,0,0.121611304155058,0.17544676134669,0.173142793045541,0.0257612591073863,0.0278864476011651,0.216588627634034,0,0.65303352326006,0.76559204877299
S6N,0.591803528677964,0.0320016265149998,0.0965073713727915,0.0617289038512149,0.104327570026693,0.00564622827104476,0.0226933986607459,0.085291372624546,0,0.814881795407365,0.59658334256561
S6T,0.383292037099579,0,0.195835282999625,0.135332269695401,0.0857407979116871,0.0319581370171419,0.0300607057064495,0.137780769570117,0,0.727736744836475,0.70455359788432
S7N,0.580463573487321,0.0863782784783361,0.121450899531212,0.0420391969168889,0.0779858577514465,0.000575044374713962,0.031436752485134,0.0596703969749481,0,0.817956305666883,0.593994321864841
S7T,0.404011273889352,0.0243519846808171,0.167584453430633,0.114207273164602,0.091634793531315,0.0251875455216062,0.0163961084666766,0.156626567314998,0,0.692341413214663,0.731164038615768
S8N,0.613902568409999,0.0785605454661279,0.0504763943655303,0.0310763248829434,0.13010621496302,0.01505242077247,0.00687888217155947,0.0739466489683497,0,0.812834104782769,0.599992353306053
S8T,0.470547609838923,0.00757754904831526,0.168660438254671,0.0916135036875979,0.0816393413069265,0.0342082106375425,0.00814899213123408,0.13760435509479,0,0.721528213739028,0.702209220604729
S9N,0.630773097846059,0.069288948628451,0.148942767484053,0.0293750770053084,0.0510291525140711,0.00229739616889358,0.0602505422754765,0.00804301807768722,0,0.819417397321363,0.588199372660761
