Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE
TCGA-FV-A495-01,0.0615258332016663,0.036790805157786,0.688189114220574,0.0986368468691637,0.0588270254486194,0.00929826025617284,0.0442003124126162,0.00253180243340118,0,0.886826956470173,0.467952443643669
TCGA-G3-A3CH-11,0.0986905719498306,0,0.738275537709089,0.00616405688920944,0.104096792704853,0.00036719242648987,0.0491629275233437,0.00324292079718421,0,0.919956877921714,0.400423493812012
TCGA-CC-A3MB-01,0.139904598881608,0.0323408221457846,0.480762120847039,0.118660974170228,0.0945360325988609,0.0444509869091251,0.0852895116860028,0.00405495276135185,0,0.842831685756778,0.582836559798623
TCGA-BC-A3KF-01,0.114992769817135,0.0410765026070194,0.596360562445531,0.0835888399734742,0.0621532276640041,0.0328936218308124,0.0673083650054924,0.00162611065653136,0,0.791911330865162,0.61390057428049
TCGA-DD-A4NV-01,0.0988962039025646,0.00242632357088684,0.660500456243761,0.0583286065388032,0.102381489440909,0.0279227270379386,0.0485028892605192,0.00104130400461756,0,0.849245250004856,0.532237433783038
TCGA-CC-A1HT-01,0.0497218801091504,0.125314338207753,0.12494646871018,0.306282367926656,0.0661579831662297,0.0414898284227825,0.285777090668654,0.000310042788594849,0,0.588385266798691,0.868007918295765
TCGA-BD-A3EP-01,0.112517344021674,0.00951404869657669,0.552464931255583,0.0995828676401757,0.0989798746127524,0.0300217801830367,0.0943419159525513,0.00257723763764967,0,0.731947999061844,0.68307071059159
TCGA-FV-A3R2-11,0.100607116620521,0.000403882329441265,0.719604594630376,0.0340546800918752,0.101703257399515,0.00817044065237233,0.0321932283620379,0.00326279991386184,0,0.911914550578721,0.417525532966674
TCGA-CC-A3MA-01,0.118774027932005,0.105286831427843,0.152836962625701,0.241525413511974,0.107086800334473,0.0410884302033206,0.233123238013725,0.000278295950959226,0,0.504175306151144,0.892912163006568
TCGA-ZP-A9CV-01,0.121477004298902,0.0154210635242394,0.582438340441871,0.0800270146677409,0.0695861901245376,0.0253814704905432,0.103460301166557,0.00220861528560916,0,0.819906745737184,0.579639883635296
