Mixture,LVECt,Other,LSEC,Hepatocytes,LVEC,Carcinoma,P-value,Correlation,RMSE
GSM363200,0.0448342811339249,0.0242265459392905,0,0.571456267422498,0,0.359482905504287,0,0.852575816783641,0.548186300533825
GSM363201,0,0,0,0.88976883025643,0.0171262008445651,0.0931049688990047,0,0.931888957416351,0.718882004268877
GSM363202,0,0.0132371060055297,0,0.595918611948367,0.0111748364418275,0.379669445604276,0,0.8896134055942,0.488315415178623
GSM363203,0,0.0184745636296818,0,0.802853507186606,0.0166250136684548,0.162046915515258,0,0.934768424255107,0.588971362289373
GSM363204,0.00652143444026585,0.0155095985046861,0,0.360006285796169,0,0.617962681258879,0,0.680230758528819,0.733028505832596
GSM363205,0,0.0296550060075774,0,0.571603678569473,0.00761084514488503,0.391130470278065,0,0.85857967772318,0.538019349840168
GSM363206,0,0.0286488781544642,0.0277602985274197,0.680817402304334,0.0269128535103677,0.235860567503415,0,0.890965975801277,0.547988438519546
GSM363207,0,0.0548683106202154,0,0.270056970437185,3.17281983799339e-05,0.675042990744219,0,0.397793287274307,0.935418885837219
GSM363208,0,0.170632499859798,0.000555610043938082,0.445219227718403,0.0596250802152147,0.323967582162646,0,0.636935130945069,0.792452389683182
GSM363209,0,0.0318288830089831,0,0.454230544273227,0,0.51394057271779,0,0.816395292347973,0.578311539307197
GSM363210,0,0.039507417641381,0.00605315785977419,0.760004203604765,0.0451270944749601,0.14930812641912,0,0.913283558879088,0.582950359009003
GSM363211,0.0175958466920112,0,0,0.295310980780763,0,0.687093172527225,0,0.352056053274792,0.971612430035318
GSM363212,0.0106731947897726,0.0914210963325905,0,0.529584251306654,0.00766496057931418,0.360656496991669,0,0.921851442637374,0.391054707651049
GSM363213,0,0,0,0.392397444450454,0.00101448442021267,0.606588071129333,0,0.0273153328392312,1.2306524231173
GSM363214,0,0.0102839679754436,0,0.822911771153987,0.0185830223457095,0.14822123852486,0,0.90442080881604,0.683066132527666
GSM363215,0.0252980901722219,0.0308664554766492,0,0.523040851832337,0,0.420794602518792,0,0.883463648655819,0.473317942793061
GSM363216,0,0.0627425459979544,0.00224294645403483,0.680182091489996,0.0194969410396435,0.235335475018372,0,0.945772035204824,0.412517266933897
GSM363217,0,0.000383163024384508,0,0.187303796310549,0.00981387450125099,0.802499166163815,0,0.0456244127433559,1.10057789376306
GSM363218,0,0.0211544670848616,0,0.23575390146053,0.00886799127590052,0.734223640178708,0,0.141038859506038,1.0696982762058
GSM363219,0.00359838859825057,0.0282303670931099,0.000154841259701695,0.799055012529852,0.0208633589921211,0.148098031526965,0,0.942421547050226,0.565009639643928
GSM363220,0,0.0420242151008726,0,0.55279953476607,0,0.405176250133058,0,0.0234431481016618,1.38646006399854
GSM363221,0,0.0345059583778358,0.00933592360045964,0.796675084724295,0.00590730416608397,0.153575729131325,0,0.949171229767488,0.545497784451512
GSM363222,0,0.00041953805049316,0,0.356942245175108,0.0174380944809782,0.625200122293421,0,0.50532425113075,0.882915535985685
GSM363223,0,0.00975513068509099,0.00207829300940771,0.902316981498957,0.00705038417968469,0.0787992106268594,0,0.910880844995869,0.780846423013419
GSM363224,0.02566075201842,0.00170649564676048,0,0.480702412307949,0,0.491930340026871,0,0.845667725837064,0.535406504039157
GSM363225,0,0.00691710834167869,0,0.818996283853699,0.0196942505387011,0.154392357265921,0,0.927739506340013,0.627169155238825
GSM363226,0,0.0223042462676265,0,0.535551627829754,0.0066437898229631,0.435500336079656,0,0.842153866643724,0.553035256312623
GSM363227,0,0.0329149371709354,0.0208383164680768,0.721484843164942,0.0150323061575873,0.209729597038458,0,0.911183499963592,0.544225224602648
GSM363228,0,0.017479164034114,0,0.486753606329473,0.00400674614557957,0.491760483490834,0,0.819530415159488,0.577376889691178
