Mixture,LVECt,Other,LSEC,Hepatocytes,LVEC,Carcinoma,P-value,Correlation,RMSE
S1N,0,0.185833361858791,0.0742766790337636,0.231638745560217,0.104753972401756,0.403497241145472,0,0.613291009216377,0.795850415580644
S1T,0.00762231659912094,0.14196019038088,0.00456316612919381,0.18431424900235,0.119417296010523,0.542122781877932,0,0.590082750771544,0.81805021529027
S2N,0.00808127113710967,0.287434396122206,0.0583139782420191,0.184292569470751,0.124226460528135,0.33765132449978,0,0.652581726617696,0.788319452250312
S2T,0.0648503341244507,0.161418913824606,0.0244201684830814,0.157710900795338,0.10843440562748,0.483165277145043,0,0.589082143403329,0.829677849020032
S3N,0.01226835730243,0.213161154769624,0.0422857585684941,0.231591099873165,0.145808857268901,0.354884772217385,0,0.616606389412518,0.794303410903333
S3T,0.0482316450888777,0.235262684463708,0.0107363142378267,0.128027811341817,0.107719713846956,0.470021831020814,0,0.564233322548651,0.850576935551459
S4N,0,0.226188771675009,0.0546005141589192,0.199900317124467,0.109429651562321,0.409880745479284,0,0.57879899647253,0.823119741792705
S4T,0.127587880757847,0.537082775708613,0.00676700923034188,0.0149584656285877,0.0825281116633853,0.231075757011225,0,0.554294473634354,0.876871155515899
S5N,0,0.224239686089619,0.0775436168786149,0.213538263116724,0.106448720444473,0.378229713470569,0,0.618583203643197,0.796813086210422
S5T,0.0451952593671923,0.163263255418607,0.00504490260730604,0.0303372775358839,0.061349816410886,0.694809488660125,0,0.572239599875982,0.8584343202054
S6N,0.0109700085742722,0.186372627278782,0.0421235586431323,0.204640454613844,0.117790732309748,0.438102618580221,0,0.619927294532616,0.797972675881542
S6T,0.109234127733725,0.204515537833744,0,0.112171193639979,0.106792534166482,0.46728660662607,0,0.59258837185768,0.845792011666214
S7N,0.00233054628706612,0.282807697984571,0.0603949250942764,0.213281261061514,0.108546862759737,0.332638706812835,0,0.60756888620187,0.803741552658769
S7T,0,0.15614415465854,0.00804060241327815,0.111027918309062,0.153882423970842,0.570904900648277,0,0.600219521054154,0.836360857729209
S8N,0,0.213242884011555,0.0811625047815173,0.217000851159972,0.140041286666216,0.34855247338074,0,0.605301730450958,0.804577911280325
S8T,0.0568383396104321,0.148927092439999,0,0.13763990253918,0.12572912767944,0.530865537730948,0,0.570886287580039,0.84278482228628
S9N,0,0.245342393899,0.0281823544831264,0.263088025219669,0.173905257900046,0.289481968498158,0,0.629776566685598,0.780080650977501
S9T,0.0367778863037263,0.161850170297167,0.00621865827357335,0.111175145865693,0.125601103327082,0.558377035932759,0,0.583964171540795,0.844437172857059
S10N,0.0444461812685837,0.27832673980255,0.0202224684798052,0.15796426359487,0.178897078239651,0.32014326861454,0,0.590914979074405,0.832155268443024
S10T,0.0198031377181238,0.0987095837913052,0.00462955666978973,0.225830519771823,0.0914020318814802,0.559625170167478,0,0.560797408731837,0.829017128072463
S11N,0.00551768137965213,0.148957740193164,0.0464085127522113,0.234617904443578,0.137642617165388,0.426855544066006,0,0.617281098084144,0.792690500049158
S11T,0.0592771351236796,0.211808897992192,0.0144550529804219,0.0979884720764723,0.106324645469995,0.510145796357239,0,0.628584789414801,0.834353871333816
S12N,0.00859986459660388,0.285249317191084,0.0436428656937156,0.199258667103221,0.135380511645109,0.327868773770266,0,0.630248494927629,0.795052216425865
S12T,0,0.220940782375622,0,0.10426477547805,0.133552703628971,0.541241738517357,0,0.577363376631464,0.848951984359457
S13N,0.0233591132263193,0.135341315378276,0.0400019655127248,0.223522850410118,0.123830657807585,0.453944097664977,0,0.607208003566413,0.80118615332403
S13T,0.0821169683176561,0.1015533279029,0.00876381691664078,0.0504640208109005,0.0176471360057023,0.739454730046201,0,0.502909072662243,0.879833444396274
S14N,0.0352763391209418,0.255905536841242,0.0770845068516164,0.206299389445927,0.0851567672791299,0.340277460461143,0,0.615656667635662,0.801433629597532
S14T,0.0453931080672137,0.174498319373133,0.0068971879398797,0.146898572949103,0.113307617629622,0.513005194041048,0,0.628220686216246,0.813058649449869
S15N,0.0256556262577148,0.279455442908961,0.0375993853430636,0.216103389875719,0.131917683737504,0.309268471877037,0,0.623074566847563,0.79431273412615
S15T,0.0710955909441765,0.17581390478078,0.0109156679602505,0.103915510697769,0.0918557650750044,0.54640356054202,0,0.63328487727967,0.827850387289531
S16N,0.0620238233681113,0.33470983743791,0.0288244100864886,0.154713622417489,0.163468423523893,0.256259883166109,0,0.630936442148659,0.815174841416584
S16T,0.0146190744007778,0.154441235615635,0,0.135662748961164,0.101087410426204,0.594189530596219,0,0.544692767241878,0.851838466579569
S17N,0.00930807828276706,0.145346654574122,0.0596886860456094,0.247349434254798,0.123954915227454,0.414352231615249,0,0.594914285827807,0.806151127870003
S17T,0.0484676068451632,0.0902878316591258,0.008707205168928,0.166625045824886,0.074699916119758,0.611212394382139,0,0.57114943029477,0.831145613188209
S18N,0,0.226147530335091,0.0804967070705303,0.21526482014664,0.116248213617865,0.361842728829874,0,0.60449819681702,0.805164225464741
S18T,0.0298756951247867,0.178827123591028,0,0.158108331357481,0.0936604561911893,0.539528393735515,0,0.58443772859196,0.828536431416129
S19N,0,0.241566741145772,0.071154145503788,0.274405090574698,0.106913128822683,0.30596089395306,0,0.599155296926884,0.802044090209793
S19T,0.07315333776546,0.317751498992533,0,0.106583166415688,0.12560235329042,0.376909643535899,0,0.618727651715083,0.839342942169564
S20N,0.0217187802251306,0.296200530291125,0.0667435306569637,0.177776122754261,0.0839028355560609,0.353658200516458,0,0.606669895518544,0.815049479635568
S20T,0.0364061771713733,0.269166017072242,0,0.0681828103160042,0.143638641446021,0.48260635399436,0,0.565225344978665,0.868110212403932
S21N,0,0.352941776549702,0.0793236867168552,0.219162930711976,0.103132951804178,0.245438654217288,0,0.581958174969571,0.817819985917046
S21T,0.0024677962511048,0.128889812071862,0.00593094045733085,0.145448822389526,0.131412619330005,0.585850009500171,0,0.544323966438331,0.850123279039575
S22N,0.0048370653638378,0.237944675498604,0.021337091511187,0.256433193264568,0.167170680424216,0.312277293937586,0,0.647835891394945,0.767946683015533
S22T,0.0415329759597244,0.298498598910608,0,0.0760727669117913,0.125324470697427,0.45857118752045,0,0.640526521894489,0.839223917569472
S23N,0,0.308716578868629,0.034212611000267,0.239231318735258,0.205205083690484,0.212634407705362,0,0.629022103413137,0.784722345835443
S23T,0.0422448474790483,0.257372739514666,0.00997543197138827,0.0781915170810795,0.0986895716174652,0.513525892336352,0,0.646567750681098,0.83337696612434
S24N,0,0.253497526935831,0.0805138694846058,0.237381413312896,0.111697587524207,0.316909602742459,0,0.630840376666683,0.783522221456014
S24T,0.0576597525844313,0.170912960813749,0.0270327653289352,0.175931286707054,0.104609504249032,0.463853730316798,0,0.629592248865785,0.802797921227242
S25N,0.040035355009626,0.251554253171303,0.0366427022839414,0.177127304603029,0.148947397140519,0.345692987791581,0,0.6165643269908,0.811752216573844
S25T,0.0946538488921435,0.702913777770839,0,0,0.110461839056396,0.0919705342806207,0,0.596512687466616,0.851026041372086
S26N,0.02122020981787,0.29282164685526,0.0520051908206006,0.198712342606734,0.166701007980816,0.268539601918719,0,0.640274265622977,0.790687564933883
S26T,0.08671045274359,0.313270811812101,0.00948572425420987,0.0496704449444536,0.0680690237615189,0.472793542484127,0,0.611132519906334,0.85627167562223
S27N,0.0290311737306572,0.346422138362013,0.0230779663106521,0.154470679216302,0.153197479681126,0.29380056269925,0,0.646846073666618,0.806053317786064
S27T,0.043248477573775,0.331512366906785,0.0118289740331862,0.0878558227382771,0.0949073146417147,0.430647044106262,0,0.664731794575142,0.825855561276128
S28N,0,0.227404059802373,0.0720921456808417,0.22891262029745,0.0868411185913951,0.38475005562794,0,0.610179223704168,0.798285345749423
S28T,0.018207201216953,0.170766595065429,0,0.10503362970813,0.087513263021251,0.618479310988237,0,0.561107717676459,0.851485253042886
S29N,0.0312186867135861,0.263379144898319,0.0744148916781645,0.201011089138268,0.0715020613469903,0.358474126224671,0,0.57085509256811,0.827983013912888
S29T,0.0965799156895985,0.212971903070912,0.00213472089757793,0.026654827068275,0.07843164400067,0.583226989272966,0,0.56799547361256,0.869398828951151
S30N,0.000768125334895947,0.250326059413966,0.0762846099647571,0.200560547878272,0.148812671093992,0.323247986314116,0,0.596118241625409,0.814339849442051
S30T,0.148087346375965,0.517153503519368,0,0.0014211022679979,0.298362758278577,0.0349752895580923,0,0.609968021162421,0.852109618386669
S31N,0,0.199620012871062,0.0595603721793985,0.233860556335508,0.0982282160128598,0.408730842601172,0,0.619130367398715,0.791417655758141
S31T,0.0742440826632922,0.265959893666249,0.0141886695721881,0.0312319691463495,0.0385055039294029,0.575869881022518,0,0.569465958574989,0.867477584051654
S32N,0.00174989274953143,0.243982661900301,0.0720398952028256,0.219491821828601,0.115340728406729,0.347394999912011,0,0.6202656921547,0.794526610840342
S32T,0.0294794281797983,0.251471671339054,0.00153147635666133,0.116853009653022,0.135952857933414,0.46471155653805,0,0.551366589985,0.859347460118112
S33N,0.0087446228222546,0.283142250888535,0.053501294286007,0.189186968492017,0.120464472224561,0.344960391286625,0,0.622708148334435,0.802648122617565
S33T,0.0533801498363586,0.146535960145801,0.0107191104819834,0.145045750696693,0.0958465554291201,0.548472473410044,0,0.561487658944499,0.844025625295746
S34N,0,0.23939013287786,0.0571448263529119,0.235397538317265,0.145349197968529,0.322718304483434,0,0.609272187835841,0.798300858186564
S34T,0.126046947232286,0.473185366236457,0.0112646434386195,0.00696333484139259,0.0697451799631937,0.312794528288052,0,0.606533325720188,0.861769885163138
S35N,0,0.166348329215481,0.0420136636528242,0.258899485355396,0.172966737434206,0.359771784342092,0,0.61138815060064,0.793865995697123
S35T,0.0519119144262619,0.242834562440912,0.00894567593659988,0.071150297915785,0.0736500180768182,0.551507531203623,0,0.568610700939838,0.862035965770324
