Mixture,LVECt,Other,LSEC,Hepatocytes,LVEC,Carcinoma,P-value,Correlation,RMSE
GSM2480436,0.0366056362272187,0.0992003622592167,0.0182243379019706,0.405628707881903,0.105199932078435,0.335141023651256,0,0.593731938315493,0.87136330975055
GSM2480437,0,0.168581109849662,0.0496112074629063,0.518389037044187,0.160635673025461,0.102782972617784,0,0.891059601766402,0.541641122815588
GSM2480438,0.0331934233516784,0.106086563865175,0.0358905793297375,0.443319358218247,0.0989999405205869,0.282510134714575,0,0.777495273616541,0.674540097212708
GSM2480439,0.0146068808465887,0.148120017352942,0.0748720582856509,0.640454314797121,0.0789455271907857,0.0430012015269118,0,0.866014422052349,0.760305674248336
GSM2480440,0.0224669722575236,0.132517502788584,0.0257855607143044,0.290513248295036,0.111802332208831,0.416914383735721,0,0.544187192313093,0.852112742416871
GSM2480441,0.0210492867454484,0.161211370018232,0.0613663382136252,0.623415572836399,0.0695819858341757,0.0633754463521199,0,0.853682522139757,0.755874758752441
GSM2480442,0.0434919024210754,0.193206660747984,0.0225087976587317,0.107025964932831,0.0857952607800357,0.547971413459342,0,0.464476204815482,0.890296495759287
GSM2480443,0,0.154861926989929,0.0639232244048143,0.653231949701392,0.0943207309800706,0.0336621679237948,0,0.840137043365803,0.827397498364671
GSM2480444,0.0127762640201997,0.106678855209539,0.0278379176408548,0.30442686732194,0.125762933993495,0.422517161813971,0,0.622144066808015,0.790320052522486
GSM2480445,0.0092443974722888,0.174063303204612,0.0702542608855553,0.616330321711498,0.0913168835134914,0.0387908332125546,0,0.873423502455909,0.708769335319584
GSM2480446,0.0735176641000448,0.556695422181672,0,0.0239949526233931,0.142950691698256,0.202841269396634,0,0.776488525442394,0.760619857628448
GSM2480447,0.00766299344722719,0.183199867532255,0.070082227650659,0.603797125867846,0.103244136207297,0.0320136492947165,0,0.903832914104223,0.628804084282957
GSM2480448,0.0311279344673932,0.203222475325067,0.0528422709427115,0.312216015414696,0.0545971197785419,0.34599418407159,0,0.67801736715417,0.739284466798192
GSM2480449,0,0.18393925447681,0.0998440510711329,0.597938834039959,0.0777366254922491,0.0405412349198495,0,0.855151183565428,0.716654765216519
GSM2480450,0.0157078523612559,0.159166663390597,0.0429426428173772,0.468200468593569,0.12768853698314,0.186293835854061,0,0.730145680275568,0.761024095849434
GSM2480451,0,0.142364560377828,0.0600355442323656,0.69092621864599,0.106673676743817,0,0,0.88309931664034,0.813333830151697
GSM2480452,0.0665298429022051,0.354760601843058,0.040108123225531,0.196280080860846,0.0408145599958958,0.301506791172464,0,0.636017932118554,0.781093780111031
GSM2480453,0,0.186386108216912,0.0683127694837655,0.635374444403099,0.0822264857870213,0.0277001921092028,0,0.865036776589977,0.755055107523035
GSM2480454,0.0312584245027921,0.272727839970056,0.0359992178231878,0.346791232051363,0.0896051718655539,0.223618113787047,0,0.737243099712647,0.682155526335194
GSM2480455,0.0126383599639557,0.139075389686717,0.0542772511684617,0.664577858807362,0.0973724493923256,0.0320586909811777,0,0.866540579679344,0.798167933248951
GSM2480456,0,0.234031229760522,0.0334056015913231,0.365968367078834,0.110820262952615,0.255774538616706,0,0.783303327092847,0.629601615053646
GSM2480457,0,0.1321462551098,0.0602674138280731,0.653859590271672,0.122233619699007,0.0314931210914481,0,0.870674221849986,0.773332410443645
GSM2480458,0.0526231166338924,0.269342163977806,0.0282616920876975,0.314264566955044,0.0914878577610011,0.244020602584559,0,0.769726290851904,0.642698659034898
GSM2480459,0.00285946284722908,0.155828419607006,0.0650868908919057,0.681957880648997,0.0706848610673336,0.0235824849375282,0,0.884774273705529,0.795688406309138
GSM2480460,0.0307052215877479,0.252933964387838,0.0485957255583545,0.417207249638972,0.118534437349499,0.132023401477589,0,0.82007410732917,0.593294180375559
GSM2480461,0.0097234802985558,0.154060046644839,0.0667164866517127,0.601016858431496,0.118793689478932,0.0496894384944638,0,0.899869614022843,0.632327227841021
GSM2480462,0.0117243359674209,0.157030506387646,0.0245345108358082,0.374760694191659,0.147689870556649,0.284260082060816,0,0.667396788432699,0.771493742072782
GSM2480463,0.00323803180277583,0.129203796572376,0.0692274628343668,0.664340421648885,0.0628339495428274,0.0711563375987689,0,0.855472459123698,0.819833757020568
GSM2480464,0,0.119665224462983,0.0259620166877095,0.45830862225212,0.170772284560968,0.225291852036219,0,0.697197092392372,0.795870280448877
GSM2480465,0.00960106347985338,0.129933164543106,0.0646230467004194,0.726518806216963,0.0608275405371379,0.00849637852252079,0,0.863809094582056,0.911211078925242
GSM2480466,0.0111679341791656,0.443752510786425,0.0159491306507068,0.222037533514933,0.109816011454277,0.197276879414493,0,0.580195682847993,0.814379101213515
GSM2480467,0.00422103312742121,0.219890276337144,0.056431491183079,0.547395173697192,0.117450387347696,0.0546116383074686,0,0.890609309164463,0.577416107075445
GSM2480468,0.0178455058830504,0.143855906309751,0.0283370054816593,0.30474049158684,0.126647238247659,0.37857385249104,0,0.699823229275333,0.716855460575761
GSM2480469,0,0.190790787651992,0.0750296763742096,0.630507880703355,0.0921700514730462,0.0115016037973974,0,0.870679260653636,0.736602681398832
GSM2480470,0,0.142928929998265,0.0207754967531415,0.116970444646992,0.0993155277313686,0.620009600870233,0,0.526289519988233,0.859428679111849
GSM2480471,0.0113116360962098,0.196659689269953,0.0365911691108792,0.491219583476438,0.156289860881489,0.107928061165032,0,0.870992620998082,0.554552511773089
GSM2480472,0.0191692719195077,0.133036677144322,0.0295205504346622,0.434632495157101,0.136384857837727,0.24725614750668,0,0.751277360445375,0.704954826127749
