Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE
301N,0.130113259413778,0,0.758024953346419,0.0216381529245197,0,0.0118802413557638,0.0213968426064304,0.0569465503530892,0,0.905015484198488,0.429586540081048
302N,0.0874820588742677,0,0.811521090093347,0.00944528325113438,0,0.0085898236633683,0.0160898470055168,0.0668718971123653,0,0.883595611166103,0.484974973343498
355N,0.0947095353075598,0,0.836363197464543,0,0.0583216254981686,0,0.000909544728768153,0.00969609700096079,0,0.796847280791588,0.613709729298565
356N,0.111863908810019,0,0.746884231659081,0.0415140456707831,0,0.00962886599475736,0.0350480990764128,0.0550608487889473,0,0.848496499163946,0.534425794297259
304T,0.104779590310173,0,0.863436666195783,0.0249531297551282,0.000299401560203689,0.000216314041915817,0,0.00631489813679709,0,0.920622895556807,0.393345410000332
305T,0.111538029944301,0.0782694305584828,0.481771719759969,0.119074640906977,0.0456674047244924,0.0649720143443771,0.0939048956964302,0.00480186406497073,0,0.702828614747775,0.729394337700123
353N,0.104833017972603,0,0.82403691267156,0,0.0493384524027476,0,0.011496668025529,0.0102949489275609,0,0.797528822720953,0.61102123036251
307T,0.159249835933115,0.0716448729176789,0.453066853713162,0.0811953593090751,0.0631059724977871,0.0409694241108417,0.127034889991107,0.00373279152723311,0,0.665187090296077,0.762601845850086
308T,0.13171747068437,0.0124896477426649,0.718037877782818,0.0275551018124659,0.0631533567465238,0.0160304730964608,0.0310160721346966,0,0,0.833114250979182,0.558066953364557
309T,0.136017749020933,0,0.58932507088568,0.0860205954849577,0.0909776404788513,0.0236471599227739,0.0707485867071183,0.00326319749968513,0,0.842854244107657,0.57498012067452
310T,0.102063144651831,0.00849990828847642,0.715888604083146,0.0471708114067253,0.0266033350339961,0.011413259772248,0.0801249008769887,0.00823603588658877,0,0.875277889749145,0.493696338923116
311T,0.12624365496561,0.0208138969830139,0.543973413895235,0.0751046957874664,0.0856802192573785,0.0423097634239184,0.105874355687377,0,0,0.66955509365043,0.746372099971636
312T,0.198249702053542,0.04350841114672,0.610847319056036,0.0685838080965117,0,0.0434103760428928,0.031965353180731,0.00343503042356648,0,0.64338648235447,0.765506708198879
314T,0.167272436177093,0.013934669848715,0.669383481183953,0.0641488388025084,0,0.0501907790755918,0.0250174652899867,0.0100523296221519,0,0.739690443877107,0.673090449304285
315T,0.164302627761304,0.0112594365254274,0.661142456145932,0.0688574976761519,0,0.0427564920088975,0.0404703100873097,0.0112111797949776,0,0.800204978813323,0.604267959924224
316T,0.163344356987413,0.0364129301932613,0.518531620542793,0.0562985470215373,0.0595200722050563,0.0639155186974737,0.0952884080993713,0.00668854625309461,0,0.61456968383445,0.789336564222723
317T,0.134352042997067,0,0.563425952873224,0.0993971173394486,0.0379684968883846,0.0480866156005074,0.112072404654568,0.00469736964680076,0,0.79957891029771,0.625300617148935
319T,0.0999752596711727,0,0.609024372570663,0.0874651951194177,0.0602067265004355,0.0374462230669819,0.098027828092583,0.00785439497874609,0,0.815185533583983,0.595974633448138
320T,0.103295569094672,0.0429497272838912,0.478255564106667,0.0975470041636576,0.0822395370886787,0.066798737051893,0.127862461209571,0.00105140000096941,0,0.717056605299827,0.720164226439938
321T,0.0993994096678266,0.048269126708745,0.454598047728855,0.116605882613059,0.105728827784029,0.065555076448756,0.108645628490656,0.00119800055807384,0,0.705840999053353,0.735253211467693
322T,0.160852740854867,0.0382630491660855,0.576767674506335,0.031211731315826,0.063778343462383,0.0529712688929975,0.0666629228536925,0.00949226894781395,0,0.75914949067726,0.66134521671654
323T,0.168296352692397,0.0300053282341903,0.58011895765022,0.0591611050945604,0.0404922508054275,0.0359100685189959,0.0823604825138417,0.00365545449036734,0,0.788362816837807,0.634192578616847
325T,0.0928715773310194,0,0.636690150198269,0.112214419623219,0.0204349971597399,0.0178520796109754,0.0987146930933482,0.0212220829834283,0,0.842568016374561,0.551357151734419
326T,0.115484636487828,0.0655838157027633,0.571343238432531,0.0874023595880061,0.00114364804205089,0.0236709503284296,0.127377237740995,0.00799411367739571,0,0.667703616757858,0.744845193439199
327T,0.12510680587544,0,0.780411502954189,0.0144465009561883,0.0152135449572685,0.0237618707062877,0.030728596003217,0.0103311785474094,0,0.863871040086036,0.505438722284803
328T,0.122454967255556,0.0075428776115252,0.79931210513231,0.0301711820585624,0,0.0147132261654944,0.0212099555311547,0.00459568624539747,0,0.865677493423067,0.502094507727781
329T,0.10495301467835,0.125899162431007,0.459791962260338,0.0912121096039036,0.0197101933498349,0.0241366552579889,0.15656999075425,0.0177269116643273,0,0.57728458037331,0.81695289648497
330T,0.179728995155763,0.123964831250153,0.38845939032041,0.0905459982713296,0,0.0804933320269859,0.131701812996538,0.00510563997882059,0,0.738724726336282,0.732261408319458
332T,0.164818423220467,0.127506775419542,0.452247237708199,0.0817165085902616,0.0190558437844802,0.0327954995207269,0.115414984791041,0.00644472696528252,0,0.568030644855296,0.824899487184341
333T,0.0837976567599617,0,0.747873956966431,0.0384822546168593,0.0131240474862522,0.0145261954733136,0.0551642773907802,0.0470316113064015,0,0.882790123748671,0.472938875063754
334T,0.0744202589554941,0.0923124920005055,0,0.368381241876241,0.0442719338459105,0.0735720182190683,0.34704205510278,0,0,0.533408356594163,0.926309764114374
335T,0.139168112298654,0.0445198034404973,0.614497138720901,0.0804710348775276,0.0124035765214499,0.0362015097917188,0.0651654156472227,0.00757340870202875,0,0.721475697205947,0.693895965564388
336T,0.209161990272356,0,0.701229470214392,0,0.0431878577460039,0.00651571290560489,0.029343440742232,0.0105615281194109,0,0.720074937346504,0.695214514475065
337T,0.117823042932606,0.0104908435695942,0.586061716557817,0.104317450059631,0,0.0430854223004135,0.134164847203926,0.00405667737601238,0,0.797760612673105,0.620823856113023
339T,0.143968420363967,0,0.77965171982063,0.0305688474687048,0.000411714039268544,0.0222061955146347,0.0124249196384824,0.0107681831543125,0,0.835436442841244,0.550789278862959
342T,0.0621162379437479,0,0.649850352753587,0.0925735319095374,0.0870924003974575,0.0265990724775926,0.0712421547964117,0.0105262497216659,0,0.900517213901372,0.472102233034593
345T,0.115296871555809,0.0403605986813503,0.632244221732926,0.0500599291101927,0.0607514865662971,0.0336058084821178,0.0676810838713067,0,0,0.729075387948639,0.686137227967463
346T,0.08874360819472,0.0484181457508232,0.387876286503101,0.107680624737843,0.145923541454433,0.0284367054926677,0.190173195860426,0.00274789200598616,0,0.734722470714883,0.735648595618972
347T,0.106934226268091,0.000758414576676726,0.637013500570678,0.0615901006127583,0.0507588424041605,0.0338312257613217,0.102988940561433,0.00612474924488119,0,0.813675072782612,0.592361477490697
348T,0.118535937023659,0.00370257286264799,0.737901878122845,0.0638053952028738,0.0186720073272571,0.0195905874704711,0.0269038638235748,0.0108877581666713,0,0.85108415975477,0.528085195904217
349T,0.0942916526500501,0.0169718538269948,0.699306077829439,0.0166854996905984,0.0608941773807328,0.0388430991570808,0.0635749929703367,0.00943264649476718,0,0.825265378062569,0.568354471197096
350T,0.185915063283161,0,0.728750391460445,0,0,0.00613199280020478,0.0546452107040954,0.0245573417520942,0,0.759066561193148,0.654627482898107
351T,0.122910227274259,0.00374915448544032,0.725652950307463,0.0400604680844256,0.0239401233091059,0.0346604494167386,0.0405275589562462,0.00849906816632162,0,0.792268203325668,0.610731693238863
352T,0.0970667636272958,0.120992896364806,0.222514855151721,0.195606798097594,0.0763076796129566,0.062025043754265,0.225485963391362,0,0,0.511148647029804,0.887714629768947
