Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE
GSM2053444,0.124118728344759,0,0.731524784843318,0,0.105039716912593,0.0142212408302895,0.0223879349023151,0.00270759416672518,0,0.838384993781114,0.6445488732147
GSM2053438,0.129822988177577,0.03776705368257,0.5612735095673,0.0442153817219798,0.0976768854677855,0.0269270668123342,0.0934618171237327,0.00885529744672115,0,0.815998057412378,0.588776379159848
GSM2053485,0.145029777006008,0.0832591611123914,0.210721236715027,0.133330827298369,0.0863091675957747,0.119452579565512,0.205948422779888,0.0159488279270293,0,0.561303252067967,0.836106599504819
GSM2053456,0.147732761712628,0.113187616850814,0.35203135269138,0.069495062374077,0.0522968698846914,0.098056469366264,0.149307851126075,0.0178920159940712,0,0.641040785566693,0.767494509681573
GSM2053473,0.154638048813063,0.0720013869365112,0.208254429951608,0.123533777220786,0.107148932296219,0.139768725153086,0.169755517089708,0.0248991825390178,0,0.525326940484564,0.855487654407165
GSM2053478,0.211241604065947,0.0679297604137906,0.433489162776503,0.06903542284575,0.0557602498832325,0.0639529210450576,0.0857073258418162,0.0128835531279027,0,0.710052995616347,0.704300443577636
GSM2053460,0.118354054373223,0.077869812091544,0.333644600815699,0.162282856171444,0.0826035460856559,0.0369170527807286,0.174963646586994,0.0133644310947115,0,0.633456415602228,0.774753717245993
GSM2053466,0.0809945383443246,0.047407980667509,0.341910841084682,0.134690466834738,0.113925662499617,0.0566598405580154,0.220977576977587,0.00343309303352598,0,0.707015424536239,0.711951187604384
GSM2053484,0.121937967219681,0.0576701056747478,0.428748214660617,0.125117142965906,0.0734749175018508,0.0925591952155109,0.0903104975806387,0.0101819591810479,0,0.729048682746791,0.684277493639982
GSM2053454,0.131829404912736,0.0245689311850052,0.609107733154285,0.0848431704382232,0.0722793005693841,0.0284322130986705,0.0445800595722011,0.00435918706949462,0,0.860785389664587,0.526343338903941
GSM2053479,0.214723095445704,0.133451172920336,0.0576446878498185,0.170661430216207,0.140062446147811,0.0938973793537484,0.167703579207743,0.0218562088586304,0,0.651682720583888,0.84941242800775
GSM2053448,0.102031718437645,0.00913556649721934,0.674537785078507,0.0274632693628738,0.107655305030145,0.035489368981754,0.0415203288063261,0.00216665780552856,0,0.862368986540002,0.558768095359639
GSM2053435,0.188230606993452,0.00569302315209125,0.435252696605481,0.0921571769885278,0.121466321531326,0.0292032420857635,0.126446273883543,0.00155065875981569,0,0.769004891407791,0.639895672600477
GSM2053464,0.134921593042606,0.0390960596945613,0.472522446132213,0.0915188187605406,0.0879382501042385,0.0885307821425232,0.0753212945115092,0.0101507556118079,0,0.751518232127512,0.660925942720192
GSM2053459,0.187079377698264,0.167679382318045,0.0982799197749872,0.148378855260831,0.149863993736952,0.0959188298822637,0.129940322264209,0.0228593190644484,0,0.580247424822001,0.863887011996551
GSM2053489,0.142345664349741,0.0598965244946465,0.476377941174819,0.0895758363011031,0.0835751183164431,0.0446697176081871,0.0891861241849302,0.0143730735701298,0,0.72124919467117,0.696670450567683
GSM2053439,0.0970134057902094,0.0491843394662122,0.499124543113723,0.0842210261945034,0.122680201036238,0.0330221349845958,0.105782881198706,0.00897146821581094,0,0.76459539542831,0.648228470662363
GSM2053457,0.184812086642716,0.0468185529604296,0.380534587432769,0.067281360363055,0.091948126527715,0.0461918492700048,0.171669048756631,0.0107443880466791,0,0.771767877014846,0.644190900440758
GSM2053492,0.0613985608159794,0.0675552368874747,0.39808826062256,0.125083689266826,0.135991414223529,0.082859953147106,0.115943020540335,0.0130798644961893,0,0.687141748381293,0.726391778112955
GSM2053491,0.214017989481027,0.0859469847300844,0.307148876354061,0.117020545759012,0.0266144135629943,0.0719228062990649,0.167552721088565,0.00977566272519209,0,0.585013914354556,0.811873259143397
GSM2053451,0.179051097561325,0.000729630747832995,0.661913828785519,0.0243655983027984,0.0841371669338244,0.0186730445861762,0.0278109637548937,0.00331866932763043,0,0.799344101741948,0.659811850073709
GSM2053471,0.173752208412694,0.112937565591601,0.287821927214397,0.123316814578128,0.0658413640899501,0.102035160218924,0.120584651455324,0.0137103084389808,0,0.632198301816604,0.782116995444014
GSM2053443,0.0671580560017898,0.0331634079791802,0.690275305630918,0.000316862033791804,0.122933174858872,0.0293873465919337,0.0528245122787211,0.0039413346247934,0,0.815952344565274,0.655336068219887
GSM2053483,0.0760349577269779,0.0276212821460821,0.667085207131284,0.00486322993894585,0.139862398107253,0.0267089678469051,0.054692039484361,0.00313191761819158,0,0.811300224991375,0.646762777458589
GSM2053450,0.117634083062315,0.00919284889821695,0.702993902372352,0.025013684414742,0.0694105060487047,0.0310537076479669,0.0383871920837699,0.00631407547193268,0,0.84109789545812,0.619048469650876
GSM2053472,0.0932569010516427,0.0520705566020341,0.392529352252561,0.108779304656388,0.126335924803579,0.0779544487721904,0.13947710318591,0.00959640867569438,0,0.631454616801892,0.777216061170411
GSM2053441,0.0770413848532006,0.0316084038857411,0.493792909428503,0.0812945017430373,0.0886304957498394,0.0595674182565707,0.162204295060392,0.00586059102271579,0,0.77988874489235,0.628851399200477
GSM2053462,0.134589447592965,0.0390614578434533,0.229231052934689,0.119923382395061,0.0513489346457597,0.0754793200491446,0.336701917866335,0.0136644866725932,0,0.658030495048751,0.768563447198304
GSM2053470,0.171995930872674,0.0825974197858518,0.386038164209643,0.0822279676330785,0.0629296855073706,0.0832075260449297,0.123449227274024,0.00755407867242793,0,0.676159082218475,0.736747942584275
GSM2053467,0.120744766379378,0.0572423828938117,0.440948401731237,0.159369001237439,0.0696411849158444,0.0809207597503796,0.0635011895198359,0.00763231357207513,0,0.747823527979486,0.663753523435707
GSM2053458,0.175176950215303,0.0828585607957491,0.356580932015819,0.116226738989731,0.0490157103342453,0.0523607068200882,0.157129014838247,0.0106513859908171,0,0.750622670642272,0.671762338142067
GSM2053475,0.124084822637406,0.0905954788569632,0.408621916937276,0.116090770880947,0.0929566771597888,0.0612380095519317,0.089753565789664,0.0166587581860232,0,0.736843033037966,0.677075774093773
GSM2053461,0.0950157666091303,0.0739979731336776,0.277542868585211,0.108192455987899,0.141854937075637,0.0858575626108334,0.202531255809981,0.0150071801876311,0,0.513627413278571,0.858755030259696
GSM2053447,0.126719829242037,0.00641191509526742,0.751258481178706,0,0.0641253389674492,0.0266043424588832,0.0221643018432148,0.00271579121444278,0,0.801575376603597,0.726137070641825
GSM2053482,0.168819719311782,0.0230931033308261,0.434764205971881,0.0636189502065611,0.0750949914026606,0.0758448206376117,0.147012796381296,0.0117514127573817,0,0.79427869534938,0.609097360241964
GSM2053442,0.154762213541628,0.00790370053775497,0.522728651976728,0.00507854652565131,0.148927195960235,0.0293941450575408,0.127192870679693,0.00401267572076766,0,0.803964827333509,0.598691506137287
GSM2053494,0.171342547218904,0.0638303244135953,0.227818109423704,0.168821534064435,0.0679886282205611,0.0681671333889423,0.22513166568912,0.00690005758073812,0,0.626305654946264,0.797094831160149
GSM2053453,0.0903378081627797,0.00516334187177256,0.740468890512938,0,0.0959404128324294,0.0388754612432487,0.0256355801201182,0.00357850525671366,0,0.78876732775845,0.739378976870378
GSM2053452,0.104879294352369,0.00531084961880366,0.687142981599447,0.00990751061182478,0.113765261878877,0.0275087546572698,0.0442414451791477,0.00724390210226067,0,0.88243311232017,0.526849239688854
