Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE,,T Cells
TCGA-FV-A495-01,0.061525833201666,0.036790805157786,0.688189114220574,0.098636846869164,0.058827025448619,0.009298260256173,0.044200312412616,0.002531802433401,0,0.886826956470173,0.467952443643669,,0.157143663808072
TCGA-G3-A3CH-11,0.098690571949831,0,0.738275537709089,0.006164056889209,0.104096792704853,0.00036719242649,0.049162927523344,0.003242920797184,0,0.919956877921714,0.400423493812012,,0.202787364654684
TCGA-CC-A3MB-01,0.139904598881608,0.032340822145785,0.480762120847039,0.118660974170228,0.094536032598861,0.044450986909125,0.085289511686003,0.004054952761352,0,0.842831685756778,0.582836559798623,,0.266781453626253
TCGA-BC-A3KF-01,0.114992769817135,0.041076502607019,0.596360562445531,0.083588839973474,0.062153227664004,0.032893621830812,0.067308365005492,0.001626110656531,0,0.791911330865162,0.61390057428049,,0.218222500088158
TCGA-DD-A4NV-01,0.098896203902565,0.002426323570887,0.660500456243761,0.058328606538803,0.102381489440909,0.027922727037939,0.048502889260519,0.001041304004618,0,0.849245250004856,0.532237433783038,,0.20370401691436
TCGA-CC-A1HT-01,0.04972188010915,0.125314338207753,0.12494646871018,0.306282367926656,0.06615798316623,0.041489828422783,0.285777090668654,0.000310042788595,0,0.588385266798691,0.868007918295765,,0.241194201483133
TCGA-BD-A3EP-01,0.112517344021674,0.009514048696577,0.552464931255583,0.099582867640176,0.098979874612752,0.030021780183037,0.094341915952551,0.00257723763765,0,0.731947999061844,0.68307071059159,,0.221011267331003
TCGA-FV-A3R2-11,0.100607116620521,0.000403882329441,0.719604594630376,0.034054680091875,0.101703257399515,0.008170440652372,0.032193228362038,0.003262799913862,0,0.911914550578721,0.417525532966674,,0.202714256349477
TCGA-CC-A3MA-01,0.118774027932005,0.105286831427843,0.152836962625701,0.241525413511974,0.107086800334473,0.041088430203321,0.233123238013725,0.000278295950959,0,0.504175306151144,0.892912163006568,,0.331147659694321
TCGA-ZP-A9CV-01,0.121477004298902,0.015421063524239,0.582438340441871,0.080027014667741,0.069586190124538,0.025381470490543,0.103460301166557,0.002208615285609,0,0.819906745737184,0.579639883635296,,0.206484257947679
TCGA-DD-AACY-01,0.125121186584236,0.019574146303715,0.617865437723141,0.062783769464248,0.088521020640059,0.04105139385143,0.038924313348535,0.006158732084636,0,0.787985444204446,0.618341100741615,,0.233216353528011
TCGA-XR-A8TG-01,0.135990920883397,0.034855622826681,0.533844121138897,0.138498834274894,0.05345833736443,0.047843860186289,0.050775915320937,0.004732388004476,0,0.678724714757449,0.735281110815225,,0.224304881074508
TCGA-CC-A9FW-01,0.124602150270089,0.03474786177343,0.47647684452313,0.128874721915698,0.067084431218627,0.049730158951783,0.117891266054196,0.000592565293047,0,0.762916713127628,0.662733773962695,,0.226434443262146
TCGA-BC-A10Y-01,0.127788959069649,0.021973735558648,0.627588399942264,0.105513105158753,0.065184378795053,0.020277964390641,0.030643530587633,0.001029926497358,0,0.822119207368812,0.572864890857194,,0.21494707342335
TCGA-KR-A7K7-01,0.082083654247833,0.034986279630782,0.530401201025796,0.116598136794689,0.051296937532946,0.040716325869976,0.142650482418255,0.001266982479724,0,0.80578284681087,0.605150935533135,,0.168366871411561
TCGA-ED-A459-01,0.132385116344194,0.031594759602614,0.513097347026681,0.114939215581234,0.040884772349709,0.050585891422414,0.11276547560109,0.003747422072064,0,0.788174189568123,0.628991604106502,,0.204864648296517
TCGA-PD-A5DF-01,0.116334118380606,0.01882795835088,0.553760863527331,0.095930394480104,0.079578831548551,0.039140780433945,0.093022318078214,0.00340473520037,0,0.790266925998996,0.619636148760709,,0.214740908280037
TCGA-ED-A5KG-01,0.118494751099094,0.014670345233641,0.174159936781718,0.151004289816985,0.320049720858047,0.030105118556505,0.19151583765401,0,0,0.649268000754594,0.842548834599875,,0.453214817190781
TCGA-DD-AAVX-01,0.114672497659783,0.011232431843463,0.558319431310789,0.07327677298376,0.098302061234579,0.015565608202597,0.128425191879541,0.000206004885489,0,0.724518757946116,0.690676336444589,,0.224206990737825
TCGA-ED-A7PY-01,0.106201797447451,0.025116325928546,0.584280136072897,0.065999261904929,0.116972456901331,0.023422639430488,0.077625971395163,0.000381410919195,0,0.79078118241731,0.615873782002467,,0.248290580277328
TCGA-RC-A7SF-01,0.181965959590651,0.013447276260039,0.642638850356895,0.032387689744586,0.059001589523478,0.021772928176947,0.041464956112934,0.007320750234472,0,0.85517386489369,0.523904155031163,,0.254414825374168
TCGA-DD-AAW0-01,0.131637064405536,0.003414587826714,0.590897554071333,0.042689864990089,0.099305357022639,0.023923427091864,0.106470916198395,0.00166122839343,0,0.787792723892344,0.619011419308963,,0.234357009254889
TCGA-ED-A66X-01,0.117528664549361,0.043002434939906,0.447346860293661,0.109613935285249,0.089617260801309,0.035981411283413,0.15166770635061,0.005241726496491,0,0.772858716510068,0.660214280564566,,0.250148360290576
TCGA-DD-AAC8-01,0.112044135843251,0.053069925531917,0.318117738723485,0.212684544304092,0.075966695019037,0.034978021838152,0.191649114823124,0.001489823916943,0,0.636468149184859,0.793935433455437,,0.241080756394204
TCGA-FV-A3I1-01,0.111780556139458,0.019776522200969,0.549161048238293,0.061251753481234,0.121995129204198,0.03566587050368,0.098412396181946,0.001956724050222,0,0.832979562933812,0.569769737231766,,0.253552207544625
TCGA-RC-A7S9-01,0.1439112483461,0.015491592927793,0.569879750176453,0.074000367997765,0.081625650369014,0.064704265057849,0.047108635874184,0.003278489250842,0,0.758601891185066,0.654204387710195,,0.241028491642907
TCGA-ZP-A9D2-01,0.095542958754058,0.081519005373134,0.237833199539018,0.205558851735912,0.10701034874369,0.105572058429086,0.166666826369825,0.000296751055278,0,0.583909898604004,0.843340820558438,,0.284072312870882
TCGA-G3-A5SL-01,0.159163738121624,0.016547684725507,0.557005128860702,0.083177099707991,0.059817960278145,0.019323075210549,0.103660979890267,0.001304333205214,0,0.791321463363069,0.617926909279098,,0.235529383125276
TCGA-DD-A3A2-11,0.093686817188169,0,0.803941680573697,0,0.077917956600073,0,0.021747735358133,0.002705810279928,0,0.902110169927582,0.452985692160969,,0.171604773788242
TCGA-CC-A3M9-01,0.056724485083381,0.136140257545407,0,0.394044514400128,0,0.038716672026203,0.373705644517155,0.000668426427726,0,0.367413455094869,0.940262360008478,,0.192864742628788
TCGA-BC-A216-01,0.148379435577777,0.001952236727371,0.584478996291194,0.094597712226866,0.098122947994399,0.023702495474068,0.043201825710645,0.005564349997681,0,0.841247691778864,0.551967365611456,,0.248454620299547
TCGA-ED-A7XP-01,0.117699616308028,0.045727135561636,0.510104588319174,0.065569703787616,0.113419536963394,0.036708721319438,0.110313315923078,0.000457381817636,0,0.700265578000846,0.715918335175139,,0.276846288833058
TCGA-BC-A10T-11,0.089406516107488,0.008721891771386,0.768212042078569,0.047342468057975,0.04242188427048,0.007094871205045,0.03281527322759,0.003985053281467,0,0.825567138649211,0.587012049794224,,0.140550292149354
TCGA-DD-A11A-01,0.135705811715003,0.040162354401045,0.633355922720805,0.079859742113428,0.037818203035277,0.020004083096267,0.04510049683142,0.007993386086756,0,0.819116983227516,0.577055498193401,,0.213686369151324
TCGA-DD-A73B-01,0.126225499839137,0.019649925185273,0.622949753851371,0.063405552228805,0.117445595666125,0.012135663088599,0.036723529546897,0.001464480593794,0,0.801087828333704,0.601093841485487,,0.263321020690535
TCGA-DD-AACA-02,0.133856380449508,0.036371164406623,0.542600963922995,0.076863290208907,0.097736168003739,0.037736911024772,0.074446719215548,0.000388402767908,0,0.742294041384664,0.673106291103403,,0.26796371285987
TCGA-DD-AACA-01,0.172211941385756,0.043451684127309,0.438067270012757,0.101622345346349,0.078447112102101,0.041867145836763,0.123899987847783,0.000432513341182,0,0.681822999881759,0.739651196076498,,0.294110737615166
TCGA-DD-A1EH-01,0.155426997565575,0.018480928624275,0.448438377254034,0.104808901738564,0.128709972151846,0.04414088634169,0.099713811277916,0.0002801250461,0,0.71389252198595,0.712633540958625,,0.302617898341696
TCGA-DD-AA3A-01,0.041633747814907,0.162647874011359,0.049325398539223,0.274810009088434,0.222473636133463,0.111505330202575,0.137604004210038,0,0,0.401833707349646,0.946113861938042,,0.426755257959729
TCGA-DD-A3A6-11,0.11350822651382,0,0.827573455886366,0,0.045918447545822,0,0.011030974425488,0.001968895628504,0,0.904710713857882,0.454785455862989,,0.159426674059642
TCGA-RG-A7D4-01,0.1631023511272,0.040292786242675,0.411885748715145,0.121164508109305,0.055858526313499,0.046689009140935,0.160393931663713,0.000613138687528,0,0.809992106764588,0.641862730009904,,0.259253663683374
TCGA-FV-A2QR-11,0.096723336821224,0,0.664529094739228,0.055759851385743,0.113439177314756,0.005673104278173,0.061780444808666,0.00209499065221,0,0.837698562451657,0.549889794355979,,0.21016251413598
TCGA-DD-A73F-01,0.107430988720586,0.011324505523394,0.68808642070174,0.072677528698311,0.071807151403753,0.015049177777881,0.031529447996899,0.002094779177437,0,0.876834912582048,0.485922854543747,,0.190562645647733
TCGA-WX-AA46-01,0.110302679935507,0,0.732117144075681,0.03264745086848,0.077949519043106,0.006200678597891,0.038453532294271,0.002328995185065,0,0.928442486505188,0.38003892366052,,0.188252198978613
