NAME	Central_venous_LSECs	Cholangiocytes	Other	Hepatocyte	Portal_endothelial_Cells	Periportal_LSECs	Hepatic_Stellate_Cells	Erythroid_Cells
ALDH1L1	1	1	1	363.399423117785	1	1	1	1
ALDH2	1	104.396253486415	1	413.181134257358	115.73804463527	123.042416530663	1	1
ALDH4A1	1	1	1	193.793731330619	1	1	1	1
ALDH6A1	1	1	1	239.573034453062	132.407341656293	1	1	1
ALDH9A1	1	1	1	60.5359862241137	1	1	1	1
ALDOB	1	528.401769328801	1	1627.05152445199	1	1	1	1
ALKBH7	1	1	80.7321642760283	121.544415707027	1	1	1	1
ALOX5AP	1	1	241.995534762344	1	1	1	1	1
AMBP	193.165751866985	4407.57996186649	206.806582101147	5495.27858537909	197.084262019581	234.738687371999	643.117493183239	182.336536438039
AMD1	1	1	1	1	1	1	1	69.186846427475
AMFR	1	1	1	79.7080743265229	1	1	1	1
ANG	1	168.299253557752	1	2334.61319286348	1	1	1	1
ANGPTL1	1	1	1	1	1	1	205.655371264938	1
ANGPTL3	1	1	1	273.558924642521	1	1	1	1
ANGPTL4	1	1	1	67.2013602848834	1	1	1	1
ANGPTL8	1	1	1	61.0364760466436	1	1	1	1
ANK1	1	1	1	1	1	1	1	80.4039650383888
ANKRD11	1	1	1	1	1	1	97.9531845558851	1
ANKRD12	168.948714331801	1	116.349646268538	1	1	1	1	1
ANKRD9	1	1	1	1	1	1	1	90.6812441039111
ANP32A	1	1	83.6168224879515	1	1	1	1	1
ANP32B	1	1	189.467144310177	1	214.887146915856	143.069182094816	1	199.991574965477
ANP32E	1	1	1	1	1	1	1	105.195762233659
ANPEP	220.247675243815	500.485124256305	1	91.3138147931196	86.6683004430555	1	1	1
ANXA1	1	1	326.437445810632	1	1	226.837526999821	170.365626729459	1
ANXA11	1	132.394901326089	92.5849904083509	1	1	1	1	1
ANXA13	1	147.300186620996	1	1	1	1	1	1
ANXA2	354.086342204862	1060.49671020022	201.060729495679	1	431.161034282046	659.389400793209	777.672649842197	1
ANXA4	1	4020.71091700681	1	1	1	1	1	1
ANXA5	205.559831886709	260.701831099198	148.789993132205	1	1	165.968493230996	275.358307867471	1
ANXA6	1	1	89.0694451702605	62.9103494166119	1	1	250.461592956276	1
ANXA7	1	1	1	46.7870220040638	1	1	1	52.112850777455
AOX1	1	1	1	362.405941891458	1	1	1	1
AP1S2	242.674252200735	1	126.885132359278	1	217.261459035894	1	1	1
AP2A1	1	1	1	1	1	1	1	34.3467548717194
AP2A2	105.444974248515	1	1	1	1	1	1	1
AP2B1	1	1	1	1	1	1	1	96.5718952896126
AP2M1	236.84422914202	1	92.8662648704747	1	159.644986622164	108.828877468916	181.734736595287	106.959253823132
AP3S1	1	1	1	1	1	1	187.808515369154	1
APCS	1	605.947889250548	1	2011.52605340891	1	1	1	1
APH1A	83.9888698872563	1	1	1	1	1	1	1
APLP2	97.8952405832316	272.013651612838	95.7306696627252	248.356611374544	123.750751632942	141.026839982883	1	1
APMAP	1	1	115.932048370817	110.087665010423	1	1	1	1
APOA5	1	1	1	640.664393543054	1	1	1	1
APOB	1	400.395651897196	1	1627.16915763326	1	1	1	60.3062603276246
APOBEC3C	1	1	77.8228799688649	1	1	1	1	1
APOBEC3G	1	1	82.7565294119846	1	1	1	1	1
APOC2	1	1	1	506.844538327658	1	1	1	1
APOF	1	1	1	147.111335368402	1	1	1	1
APOM	1	1	1	283.487417218588	1	1	1	1
APP	1224.57149479567	280.386542586915	1	49.8378617091739	843.862742295917	461.105925588894	370.985819160962	1
AQP1	1	506.33156398371	1	1	1	637.235856124506	1	1
AQP9	1	1	1	146.521616314683	1	1	1	1
AR	1	1	1	111.067125889277	1	1	1	1
AREG	1	1	248.254796043585	1	1	1	1	1
ARF1	141.067767698359	1	153.924515970309	1	125.641967945379	105.886088809185	1	45.2616576279302
ARF4	1	1	1	62.8720112467946	1	1	332.806329841738	86.6630333786054
ARF6	103.476618829732	1	177.523660505563	59.1115430000798	103.770414381345	1	1	43.659726021358
ARG1	1	1	1	473.228110262002	1	1	1	1
ARGLU1	304.114331470341	1	98.1065944663514	1	172.076266837985	282.362077104212	1	1
ARHGAP29	290.028382654495	1	1	1	1	119.102077548538	1	1
ARHGAP30	1	1	85.8883381044964	1	1	1	1	1
ARHGDIA	137.963315645257	1	121.624275425813	1	1	1	1	1
ARHGDIB	566.718384061852	1	711.921985971535	1	149.153228135832	294.216621449455	185.949198514246	1
ARHGEF1	1	1	81.6415337918621	1	1	1	1	1
ARHGEF12	104.978660230462	1	1	1	1	1	1	1
ARID4B	1	1	73.3267698316838	1	1	1	1	1
ARID5B	1	1	1	1	1	1	399.188342570979	1
ARL2	121.053711268028	1	1	1	115.231491694357	95.6397417051766	1	1
ARL4A	104.055145068836	1	1	1	211.228848965307	160.462428867565	1	131.25366055933
ARL4C	1	1	184.800739779833	1	1	1	1	1
ARL5A	1	1	78.4240129881607	1	1	1	1	1
ARL6IP1	197.149035860733	403.15415243508	164.048544964428	220.078845629578	1	338.380263018972	1	253.650794504931
ARL6IP5	116.543476937692	1	176.493618881683	1	63.1226503985563	152.476141958723	299.281656724544	1
ARPC1A	111.281143021567	1	1	1	1	107.456505830875	1	1
ARPC1B	162.017117410909	1	471.958923290348	1	373.200047587665	266.568611788972	1	1
ARPC2	278.718999840036	127.829683571249	568.81058061898	1	215.472956788209	221.214099525886	429.977841851345	1
ARPC4	1	1	157.659926689728	1	1	1	1	1
ARPC5	301.055018124532	1	267.330670864047	1	1	108.023128351751	138.643551899863	1
ARPC5L	1	1	132.476840523071	1	1	1	1	1
ARRB2	1	1	85.072442467675	1	1	1	1	1
ARRDC3	1	1	1	67.315409186864	1	1	1	1
ASAH1	253.42472926779	1	161.43951194467	1	1	1	1	1
ASAP1	99.562675132903	1	1	1	148.012363591231	1	1	1
ASCC2	1	1	1	1	1	1	1	45.7763574561768
ASGR1	1	1	1	538.708869739647	1	1	1	1
ASGR2	1	120.759626958358	1	435.602953843205	1	1	1	1
ASL	1	1	1	292.166781337113	1	1	1	1
ASPN	1	1	1	1	1	1	184.489058687734	1
ASS1	1	129.743443874836	1	532.47423016011	1	1	1	55.3546543166815
ATF5	1	1	1	706.692451894852	1	1	1	1
ATM	1	1	100.321988594362	1	1	1	1	1
ATP13A3	1	1	1	65.5090556283768	1	1	1	1
ATP1A1	1	696.176557716648	1	1	103.847467327049	187.988465234932	1	1
ATP1B1	1	884.7336366805	1	120.459036145593	1	1	1	1
ATP5C1	122.185384268574	181.240768529871	112.374012185229	79.8300597434978	126.664279228794	1	1	1
ATP5F1	117.941975902378	1	146.650991961662	77.9735376345416	1	1	1	40.0815701632105
ATP5G1	1	185.155892939265	107.474091867251	209.62747713485	1	1	1	1
ATP5H	133.564354390037	243.347130532134	138.077735276274	192.733960704252	144.268016576382	119.008434557701	1	33.31349415574
ATP6AP2	109.293566491777	1	98.1622762770862	1	1	1	1	1
ATP6V0B	1	1	148.996058715247	97.4273383302972	1	1	1	28.9365568556613
ATP6V1F	1	1	146.40026965577	1	120.499857651448	98.0860609462487	124.958062367944	1
ATRAID	111.50658117656	1	71.7116612476845	1	1	1	1	1
ATXN2	118.566806203703	1	1	1	1	1	1	1
AURKAIP1	95.0113267580527	128.402975803583	114.777412683501	162.087477807635	1	1	1	44.8967758659749
AXL	1	1	1	1	1	1	138.792277360337	1
AZGP1	1	570.914965370279	1	2201.13684119792	1	1	1	44.0324799797482
B4GALT1	1	1	1	85.6638328925453	118.808346953419	96.6954950582861	1	1
BAAT	1	1	1	483.776629458313	1	1	1	1
BAG1	1	1	1	1	1	1	1	136.765321912154
BANF1	1	1	80.7265781386572	1	1	1	1	1
BAX	1	1	94.5279178737607	1	1	1	1	1
BCAP31	271.949439512586	1	79.9937643473399	92.8236527271963	202.456849742412	129.129259127669	1	1
BCHE	1	1	1	186.492475677731	1	1	1	1
BCL2L1	1	1	1	1	1	1	1	92.1474885362098
BCLAF1	1	1	77.9499573927198	1	1	1	1	1
BGN	1	1	1	1	1	218.875750372953	2220.97540019397	1
BHMT	1	1	1	297.301891676633	1	1	1	1
BHMT2	1	1	1	84.7351273776092	1	1	1	1
BICC1	1	135.701319201614	1	1	1	1	1	1
BIN2	1	1	119.472667053823	1	1	1	1	1
BIRC2	1	1	1	74.9611687149774	1	1	1	1
BIRC5	1	1	1	1	1	1	1	79.3160693751405
BLCAP	103.713355666284	1	1	1	101.661864781002	1	1	1
BLOC1S1	125.525760345535	1	166.069825907486	154.808282034087	70.289873742664	1	239.115904732494	79.302407449694
BLVRB	1	130.117446453455	167.70109242014	298.524426765408	1	1	1	1584.52142777049
BMPER	118.448702912501	1	1	1	1	99.9951426519611	1	1
BMPR2	106.659020735462	1	1	1	157.218064964073	153.857916692618	1	1
BMX	1	1	1	1	1	179.231258928464	1	1
BNIP3	1	1	1	194.311684247108	1	1	1	1
BNIP3L	189.60049383834	1	1	1	236.69934755106	118.513504257634	173.895002622422	484.035215997283
BOLA3	1	1	1	1	1	1	1	61.3456300466581
BPGM	1	1	1	1	1	1	1	270.117052118922
BRD2	128.405770814031	1	104.053248484903	1	1	1	1	1
BRD4	1	1	1	1	1	1	1	41.0578713088801
BSG	128.038697567051	1	105.912986238557	1	240.477351637509	1	131.854621466435	588.25841729976
BST2	706.758712680859	1	130.715390673274	84.2836027980143	710.69603876588	501.256160462843	1	1
BTG1	279.227145440054	1600.62600249318	1362.08976214688	111.328697453606	354.582585711062	426.83360014533	1	88.0466607783351
BTG2	1	1	160.129151859027	1	1	266.292124022134	1	34.4306478217534
BTN3A2	1	1	85.7988236101348	1	1	1	1	1
BTNL9	203.165200747277	1	1	1	1	139.622333735006	1	1
BUB3	1	1	91.4234239260869	1	1	1	1	1
BUD31	1	1	76.5916189166548	1	1	1	1	1
BZW1	133.158348041679	1	87.4571477511739	112.950553674824	1	1	1	1
C10orf10	1	1	1	1	1	251.760108985513	1	1
C10orf54	1	1	119.859071330143	1	1	1	1	1
C11orf54	1	134.515066890887	1	172.863905647276	1	1	1	1
C11orf96	142.965385015469	1	1	1	1	141.290753035556	365.554947368482	1
