"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD4",2.93067658119335e-264,2.39356352083904,0.768,0.115,5.86340463599353e-260,"Central_venous_LSECs","CD4"
"SGK1",6.08779637818849e-264,2.49279888237229,0.775,0.12,1.21798542138417e-259,"Central_venous_LSECs","SGK1"
"BTNL9",7.56020163258224e-264,1.80241880433672,0.402,0.023,1.51256954063073e-259,"Central_venous_LSECs","BTNL9"
"NOSTRIN",1.95964343149766e-262,2.00204451362816,0.477,0.036,3.92065861339736e-258,"Central_venous_LSECs","NOSTRIN"
"MS4A6A",2.26255569112523e-257,2.31244493367349,0.918,0.172,4.52669517123425e-253,"Central_venous_LSECs","MS4A6A"
"IGFBP7",2.5804699470668e-256,2.27029036798986,0.895,0.156,5.16274622309655e-252,"Central_venous_LSECs","IGFBP7"
"NRP2",3.78057046103893e-255,1.95350102936377,0.49,0.039,7.56378732140058e-251,"Central_venous_LSECs","NRP2"
"CDH5",8.49268051276139e-255,2.02029133105169,0.52,0.046,1.69913059018817e-250,"Central_venous_LSECs","CDH5"
"TFPI2",1.90604736238836e-254,1.68119654323175,0.327,0.014,3.81342895793039e-250,"Central_venous_LSECs","TFPI2"
"RP11-557H15.4",1.70607372346919e-253,1.41854673225133,0.245,0.006,3.41334169854482e-249,"Central_venous_LSECs","RP11-557H15.4"
"PVALB",9.51907419318218e-250,1.27840946158786,0.203,0.003,1.90448117382996e-245,"Central_venous_LSECs","PVALB"
"MYCT1",1.0585960774471e-247,1.92890699246948,0.523,0.047,2.11793317214841e-243,"Central_venous_LSECs","MYCT1"
"COL4A2",1.3402326809885e-247,1.60322356286627,0.34,0.017,2.68140352485368e-243,"Central_venous_LSECs","COL4A2"
"TIMP3",2.52753626622224e-246,2.34674913876363,0.866,0.17,5.05684180783084e-242,"Central_venous_LSECs","TIMP3"
"COX7A1",2.54546021903083e-240,1.98828352926606,0.536,0.052,5.09270226021498e-236,"Central_venous_LSECs","COX7A1"
"IFITM10",4.07025470286185e-240,1.45305415989315,0.255,0.008,8.1433585840157e-236,"Central_venous_LSECs","IFITM10"
"CTSL",6.67857530132027e-239,2.51446024149888,0.905,0.22,1.33618256053515e-234,"Central_venous_LSECs","CTSL"
"ID3",1.17896388926149e-230,2.15040856572223,0.755,0.113,2.35875305324547e-226,"Central_venous_LSECs","ID3"
"PPFIBP1",5.27379020974699e-230,1.97394341022869,0.526,0.054,1.05512720726408e-225,"Central_venous_LSECs","PPFIBP1"
"PLPP3",1.63570974512027e-226,2.49686584377188,0.84,0.19,3.27256448706212e-222,"Central_venous_LSECs","PLPP3"
"MID1",8.12203482555727e-224,1.57862373248666,0.32,0.017,1.62497550754924e-219,"Central_venous_LSECs","MID1"
"TGFBR3",9.26171098778166e-221,2.13074662446611,0.676,0.101,1.85299051732548e-216,"Central_venous_LSECs","TGFBR3"
"KCNC4",1.89843438401771e-220,1.32936816370525,0.248,0.009,3.79819767210424e-216,"Central_venous_LSECs","KCNC4"
"TIMP1",1.36279409720253e-218,2.18394052225125,0.987,0.321,2.72654215027311e-214,"Central_venous_LSECs","TIMP1"
