"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TNRC6C.3",1.81642748751434e-07,0.3036182946561,0.149,0.107,0.00364684146668253,"Nk Cells","TNRC6C"
"CCDC12",2.13626860452576e-07,0.255687771905648,0.407,0.378,0.00428898647730637,"Nk Cells","CCDC12"
"NFKBID.3",2.1437560518174e-07,0.323865098352377,0.148,0.107,0.00430401902523379,"Nk Cells","NFKBID"
"TRA2A.2",2.18648805656943e-07,0.254704121350915,0.403,0.371,0.00438981207117445,"Nk Cells","TRA2A"
"ADGRG1.2",2.36025755125266e-07,0.401525397899347,0.13,0.093,0.00473868908564997,"Nk Cells","ADGRG1"
"OGT.1",2.47354782830589e-07,0.277621042394993,0.186,0.14,0.00496614197488973,"Nk Cells","OGT"
"EMD",2.6369658758574e-07,0.287814432445519,0.272,0.227,0.00529423638895891,"Nk Cells","EMD"
"DMTF1",2.88928698292146e-07,0.292071431017286,0.11,0.074,0.00580082147561141,"Nk Cells","DMTF1"
"MOB4.3",3.00379506675644e-07,0.27173603685022,0.342,0.301,0.00603071935552691,"Nk Cells","MOB4"
"TGFBR3.1",3.01441575293288e-07,0.250791868094312,0.126,0.087,0.00605204250716334,"Nk Cells","TGFBR3"
"ST8SIA4.4",3.77643738755962e-07,0.257868470814782,0.136,0.096,0.00758195334300345,"Nk Cells","ST8SIA4"
"KMT2A.4",3.82660432610702e-07,0.293195016750956,0.256,0.213,0.00768267350552506,"Nk Cells","KMT2A"
"ARPP19.2",4.09118000293215e-07,0.256847316934674,0.382,0.35,0.00821386209188688,"Nk Cells","ARPP19"
"CDK6.2",4.16239475935856e-07,0.272832636333431,0.131,0.092,0.00835683995836418,"Nk Cells","CDK6"
"RNF115",4.25600318095358e-07,0.33547697201864,0.216,0.174,0.0085447775864005,"Nk Cells","RNF115"
"NAP1L4.2",4.34040689395139e-07,0.271292859751428,0.297,0.251,0.00871423492098622,"Nk Cells","NAP1L4"
"ST6GALNAC6.3",4.41002312354884e-07,0.302577897803906,0.129,0.091,0.008854003425149,"Nk Cells","ST6GALNAC6"
"TK1.2",4.73094789052041e-07,0.36439654331059,0.142,0.106,0.00949832407979783,"Nk Cells","TK1"
"CHIC2.1",4.98543306087606e-07,0.259461922190056,0.195,0.149,0.0100092539563209,"Nk Cells","CHIC2"
"BIRC5.3",5.05860760779979e-07,0.360973868247326,0.136,0.101,0.0101561664941796,"Nk Cells","BIRC5"
"ATG12",5.21887861131468e-07,0.277682191771181,0.339,0.303,0.0104779425879365,"Nk Cells","ATG12"
"MVD.1",5.53793908726023e-07,0.333886923932085,0.167,0.127,0.0111185203054924,"Nk Cells","MVD"
"ARPC5L.5",5.5485264966767e-07,0.275426804148581,0.381,0.362,0.0111397766473778,"Nk Cells","ARPC5L"
"DDB2",6.08722477395197e-07,0.30072621310591,0.171,0.129,0.0122213211786634,"Nk Cells","DDB2"
"HSD17B7",7.00557997635795e-07,0.31274808454473,0.175,0.135,0.0140651029185339,"Nk Cells","HSD17B7"
"PPFIA1",8.84851899007075e-07,0.311278334822668,0.113,0.079,0.017765171576365,"Nk Cells","PPFIA1"
"ZBTB43.2",8.9176178048523e-07,0.275034399119642,0.196,0.152,0.017903901266802,"Nk Cells","ZBTB43"
"HSPA6.5",9.72528249793115e-07,0.39984547901944,0.266,0.234,0.0195254496710964,"Nk Cells","HSPA6"
"MFNG.2",1.10525531320985e-06,0.252102457056702,0.162,0.119,0.0221902109233142,"Nk Cells","MFNG"
"DUT.1",1.12871611067647e-06,0.3312292676837,0.277,0.245,0.0226612333540515,"Nk Cells","DUT"
"RAD21",1.15818962857418e-06,0.267012357268193,0.367,0.347,0.0232529731728838,"Nk Cells","RAD21"
"GTPBP8",1.42182455288126e-06,0.287103229802585,0.122,0.086,0.0285459715481971,"Nk Cells","GTPBP8"
"CMC2",1.53658713232951e-06,0.251889235025855,0.352,0.319,0.0308500598557795,"Nk Cells","CMC2"
"CCDC186.2",1.69677312789507e-06,0.276708000094552,0.225,0.181,0.0340661140887494,"Nk Cells","CCDC186"
"BIRC2.1",2.00613923093132e-06,0.304174946723735,0.249,0.209,0.0402772573394082,"Nk Cells","BIRC2"
"ZWINT.2",2.04755489755728e-06,0.344362830634013,0.124,0.092,0.0411087596782575,"Nk Cells","ZWINT"
"ORAI2.2",2.06565975058378e-06,0.251308456255198,0.134,0.097,0.0414722508124705,"Nk Cells","ORAI2"
"EPS15.1",2.59445814512413e-06,0.275893216541368,0.201,0.16,0.0520889361796571,"Nk Cells","EPS15"
"CTBP1",2.82233041665036e-06,0.309023960369177,0.197,0.161,0.0566639277750892,"Nk Cells","CTBP1"
"INO80D.1",2.99738053997458e-06,0.292386723072028,0.128,0.093,0.0601784091010696,"Nk Cells","INO80D"
"ATAD2.1",3.09697627045049e-06,0.302487699495742,0.156,0.12,0.0621779925818345,"Nk Cells","ATAD2"
"TMEM170A.2",3.58313024071263e-06,0.259596138683823,0.233,0.191,0.0719385058427875,"Nk Cells","TMEM170A"
"EBP.4",3.69413440257507e-06,0.29853430669377,0.307,0.279,0.0741671364004996,"Nk Cells","EBP"
"INTS6.1",4.35285983447779e-06,0.284424760524814,0.288,0.253,0.0873923668968105,"Nk Cells","INTS6"
"PRC1.1",4.3864189377865e-06,0.280635146609457,0.11,0.079,0.0880661330139396,"Nk Cells","PRC1"
"WDR54.1",4.48258787356536e-06,0.255056580544273,0.183,0.143,0.0899969167375718,"Nk Cells","WDR54"
"TBC1D4.1",4.76245798085477e-06,-0.25671237223122,0.077,0.115,0.0956158688816213,"Nk Cells","TBC1D4"
"NFATC2IP",5.07938244185336e-06,0.283315675556056,0.198,0.16,0.10197876128509,"Nk Cells","NFATC2IP"
"SMC2.2",5.20825234899274e-06,0.354972130960453,0.168,0.136,0.104566082410727,"Nk Cells","SMC2"
"DNAJB14.1",5.49898749678931e-06,0.284459384837763,0.253,0.215,0.110403171973039,"Nk Cells","DNAJB14"
"ZNF131.1",8.23143132482884e-06,0.252568981079993,0.264,0.224,0.165262446708589,"Nk Cells","ZNF131"
"PRPF38A",8.33766377144427e-06,0.281533083401853,0.283,0.25,0.167395275539287,"Nk Cells","PRPF38A"
"HIST2H2AC.1",8.99688281663241e-06,0.275129832490022,0.114,0.083,0.180630416309529,"Nk Cells","HIST2H2AC"
"BLOC1S2.2",9.2841505157267e-06,0.253030191466181,0.283,0.246,0.186397889904245,"Nk Cells","BLOC1S2"
"TAOK3.1",9.69439380128609e-06,0.268682461007468,0.338,0.314,0.194634344348421,"Nk Cells","TAOK3"
"C19orf60.1",1.11306849421534e-05,0.252082058321573,0.244,0.206,0.223470761583615,"Nk Cells","C19orf60"
"CRIPT.1",1.19003754268297e-05,0.299727626324949,0.261,0.23,0.23892383744446,"Nk Cells","CRIPT"
"CCZ1.1",1.25898488515462e-05,0.25520887209607,0.211,0.173,0.252766395392492,"Nk Cells","CCZ1"
"FEN1.2",1.59962594027895e-05,0.289154199492236,0.101,0.073,0.321156900029805,"Nk Cells","FEN1"
"SAR1A.1",1.64858730108198e-05,0.250649274373942,0.375,0.366,0.33098687243823,"Nk Cells","SAR1A"
"KANSL1",1.72302756514734e-05,0.26239288608623,0.168,0.133,0.345932244254631,"Nk Cells","KANSL1"
"TRIM26",1.84673666752098e-05,0.26968591405199,0.139,0.107,0.370769320738186,"Nk Cells","TRIM26"
"PTPN6.3",1.8550910367258e-05,0.252888971111866,0.183,0.147,0.37244662744344,"Nk Cells","PTPN6"
"GPATCH8",1.97290181390149e-05,0.272970675312068,0.247,0.212,0.396099497177002,"Nk Cells","GPATCH8"
"RABIF",1.99534781175976e-05,0.294985364462332,0.188,0.154,0.400605980167007,"Nk Cells","RABIF"
"TSPYL1.2",2.05850926664858e-05,0.256513685956839,0.249,0.211,0.413286905465035,"Nk Cells","TSPYL1"
"PNKP.1",2.21607483119021e-05,0.2852896558082,0.225,0.191,0.444921343858059,"Nk Cells","PNKP"
"PCNXL4.2",2.25671830003131e-05,0.294893846240819,0.177,0.143,0.453081333097285,"Nk Cells","PCNXL4"
"SKIL.3",2.40739378774085e-05,0.258026524464945,0.299,0.267,0.483332450764731,"Nk Cells","SKIL"
