"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GC.4",3.33413625030169e-05,-1.12582671360767,0.068,0.139,0.505521738270742,"LSEC","GC"
"NFE2L1",3.89318767143352e-05,0.747617735370662,0.126,0.073,0.590285114742751,"LSEC","NFE2L1"
"MACF1.4",3.92357309520771e-05,0.86966124408031,0.204,0.141,0.594892152695393,"LSEC","MACF1"
"AMBP.4",4.02638994556948e-05,-1.32528830086433,0.058,0.125,0.610481243547244,"LSEC","AMBP"
"HINT1.3",4.03561917557812e-05,-0.286351281694416,0.146,0.249,0.611880579401155,"LSEC","HINT1"
"NDUFB7.3",4.06404494102779e-05,-0.288646475430038,0.058,0.131,0.616190493958634,"LSEC","NDUFB7"
"PLD3.4",4.13109277585155e-05,-0.480871825221739,0.075,0.153,0.626356286674612,"LSEC","PLD3"
"GSTO1.1",4.14534756479655e-05,0.791826456976517,0.229,0.165,0.628517597774453,"LSEC","GSTO1"
"RAB3D.2",4.18142576065122e-05,-0.400726485000688,0.038,0.102,0.633987773829937,"LSEC","RAB3D"
"ZNF706",4.70461069097508e-05,-0.334983360465213,0.038,0.102,0.713313072965641,"LSEC","ZNF706"
"EZR.2",4.96747388572342e-05,-0.474378901050596,0.058,0.129,0.753168390553385,"LSEC","EZR"
"DUSP6.3",4.99351889827872e-05,0.738472126237363,0.156,0.099,0.757117335357019,"LSEC","DUSP6"
"TSPO.3",5.14055428758322e-05,-0.333164251682648,0.055,0.127,0.779410841083367,"LSEC","TSPO"
"SRSF9",5.29146627447636e-05,-0.358206267728672,0.038,0.101,0.802292116536106,"LSEC","SRSF9"
"ATPIF1.2",5.49452872617207e-05,-0.297221877436284,0.07,0.148,0.833080445462209,"LSEC","ATPIF1"
"ERGIC3.3",5.73118935050065e-05,-0.413340106464657,0.078,0.156,0.868962929322909,"LSEC","ERGIC3"
"UGCG",5.95714006439378e-05,0.727471717940852,0.148,0.092,0.903221576563384,"LSEC","UGCG"
"PLEC.2",6.18216833988249e-05,-0.524606539381013,0.043,0.107,0.937340363692983,"LSEC","PLEC"
"BX248415.1.3",6.19209452802171e-05,-0.763136747485859,0.04,0.101,0.938845372338652,"LSEC","BX248415.1"
"TACC1.4",6.23577243206331e-05,0.713345122231727,0.266,0.201,0.945467816149438,"LSEC","TACC1"
"CD163L1.4",6.24945298991252e-05,-0.77879116833357,0.07,0.141,0.947542062330537,"LSEC","CD163L1"
"COX7B.2",6.58271381063555e-05,-0.256212133351142,0.093,0.177,0.998071067968562,"LSEC","COX7B"
"ADI1.3",6.60773200222857e-05,-0.314749750319004,0.045,0.111,1,"LSEC","ADI1"
"GRINA.3",6.9667675899982e-05,-0.446075674377702,0.078,0.155,1,"LSEC","GRINA"
"LDHB.1",6.99795110224702e-05,-0.610107772420001,0.048,0.112,1,"LSEC","LDHB"
"PCNX2.2",7.25538163334905e-05,-0.295314987568871,0.136,0.229,1,"LSEC","PCNX2"
"EIF1AX",7.55373659532163e-05,-0.313878347824322,0.053,0.12,1,"LSEC","EIF1AX"
"ANXA11.2",7.57195293652579e-05,-0.42752299489737,0.065,0.137,1,"LSEC","ANXA11"
"SEPHS2.3",8.23090047977235e-05,-0.34927124815921,0.045,0.11,1,"LSEC","SEPHS2"
"AHNAK.2",8.77638255243523e-05,-0.286645664578326,0.121,0.21,1,"LSEC","AHNAK"
"AP1S2.2",8.92726353971446e-05,0.514742059860794,0.118,0.068,1,"LSEC","AP1S2"
"EIF3F.1",9.56692564231782e-05,-0.331442202271119,0.06,0.13,1,"LSEC","EIF3F"
"PA2G4",9.61200868412042e-05,-0.282035441830177,0.048,0.113,1,"LSEC","PA2G4"
"ALDOA.2",9.83593125746225e-05,-0.336645891409547,0.146,0.24,1,"LSEC","ALDOA"
"AP2A2.1",9.91093867659303e-05,0.810031314119169,0.101,0.056,1,"LSEC","AP2A2"
"ANP32B",0.000104222820737254,-0.304592312294764,0.103,0.186,1,"LSEC","ANP32B"
"PYGO2.1",0.000104727216975292,0.745119601474784,0.136,0.084,1,"LSEC","PYGO2"
"PET100.2",0.000109445831118965,-0.33532724381673,0.04,0.102,1,"LSEC","PET100"
"SNRPB.1",0.000111785355847524,-0.384026438614336,0.065,0.136,1,"LSEC","SNRPB"
"PHLDA1.1",0.0001139036213606,-0.577079578282408,0.04,0.1,1,"LSEC","PHLDA1"
"CSTB.2",0.000114726959851092,-0.445313279052329,0.143,0.233,1,"LSEC","CSTB"
"S100A10.3",0.000124923614121323,-0.427768851266046,0.254,0.352,1,"LSEC","S100A10"
"ARAP1.1",0.000129669132895553,-0.269212541233419,0.04,0.101,1,"LSEC","ARAP1"
"EIF4B.1",0.000134386474609565,-0.324420025650102,0.123,0.211,1,"LSEC","EIF4B"
"RPS7.2",0.000136900462885764,-0.308017522712347,0.45,0.57,1,"LSEC","RPS7"
"AC009779.3",0.000138347713511743,-0.282662847345792,0.058,0.125,1,"LSEC","AC009779.3"
"RTN3.1",0.000141797348226911,-0.339711987063475,0.048,0.111,1,"LSEC","RTN3"
"RPS28.1",0.000143229548437906,-0.306728870190878,0.457,0.589,1,"LSEC","RPS28"
"MEF2C.1",0.000158350139009229,0.679417833203747,0.121,0.072,1,"LSEC","MEF2C"
"PFN1.3",0.000158504072819302,-0.342038227391676,0.337,0.449,1,"LSEC","PFN1"
"YPEL5.1",0.000159743001400194,-0.531357656702513,0.043,0.101,1,"LSEC","YPEL5"
"MBNL1",0.00016032711496008,-0.428060820334581,0.06,0.127,1,"LSEC","MBNL1"
