Mixture,Immune cluster,Hepatocytes,Fibroblasts,Endothelial Cells,Bi-Potent Cells,P-value,Correlation,RMSE
301N,0.0980429259443851,0.707428264300012,0.024000398413683,0.169117186185659,0.00141122515626068,0,0.896632943663964,0.630409003293659
302N,0.0774762571508833,0.739801324029411,0.01712835482848,0.163564872225474,0.00202919176575183,0,0.871750748769771,0.723634048821037
355N,0.0465797272895553,0.805497564977018,0.00418931621744573,0.143637225573602,9.61659423789505e-05,0,0.803776525738702,0.934166381539515
356N,0.15463756743752,0.60459687788345,0.0304367673200656,0.208958079556378,0.00137070780258722,0,0.834556253900478,0.636695694387768
304T,0.12681453773008,0.719319513239604,0.0157009048488222,0.134212207482723,0.00395283669877069,0,0.967031837891906,0.476195091067509
305T,0.210724081162757,0.346476806835979,0.201468155258121,0.22548004879878,0.0158509079443629,0,0.804386850414275,0.605614336322146
353N,0.0458148151191155,0.791500040125087,0.0166794752888575,0.145857105025359,0.000148564441580356,0,0.808073517451765,0.907988747354562
307T,0.331429055143825,0.416091116737255,0.0671323487733785,0.183607870976481,0.00173960836905984,0,0.83214168543119,0.55553732148112
308T,0.222177191189846,0.552155823174407,0.0377006294363835,0.18601631344196,0.00195004275740327,0,0.830241557430661,0.602064533603603
309T,0.363227704577077,0.435196236314646,0.0356455977678395,0.16378417458696,0.00214628675347745,0,0.847186156847561,0.531817909764476
310T,0.230310037002973,0.457395141542621,0.0884818288844253,0.184610143244763,0.0392028493252177,0,0.884763411986592,0.46757920536657
311T,0.294650672009624,0.457036513885066,0.0450090838859023,0.183603114780371,0.0197006154390368,0,0.86450693482996,0.503833400061635
312T,0.259134220066062,0.4925077128257,0.0600195985601428,0.186441973909502,0.00189649463859323,0,0.751941108553592,0.687568414265195
314T,0.313100009281451,0.537049811204108,0.0426218809859011,0.10722829852854,0,0,0.845533719202944,0.565534743820769
315T,0.290329665567778,0.546584009380125,0.0440580773928068,0.116106512537672,0.00292173512161838,0,0.916425975272833,0.423057809283897
316T,0.397725375692386,0.395659758184433,0.0488021220015832,0.154351756545089,0.00346098757650919,0,0.741443674543145,0.671476503979358
317T,0.289400190117257,0.420489074115096,0.0995512198606753,0.188190903064029,0.00236861284294272,0,0.797523129147133,0.603877440188598
319T,0.287341606518825,0.406322825183915,0.0959565820984641,0.207876979421196,0.00250200677760029,0,0.867712373572964,0.503731094255802
320T,0.23937420267198,0.258537323270175,0.200301430905041,0.244658268637275,0.0571287745155288,0,0.7659356554971,0.684072254689209
321T,0.268053470645579,0.250689526303272,0.175450267441727,0.264800052253801,0.0410066833556215,0,0.822977975959523,0.64703255981633
322T,0.182487349324755,0.508347076851632,0.103151940209605,0.200927896434265,0.00508573717974159,0,0.817658692179349,0.598731872887192
323T,0.302057749215588,0.437058412338137,0.0852733227476797,0.145077719892392,0.0305327958062026,0,0.864554752162284,0.50373828890201
325T,0.259360808186892,0.492958576286897,0.0523420591680103,0.191465532640677,0.00387302371752315,0,0.860109021891107,0.518472721675452
326T,0.334472821712296,0.452498923977154,0.0482784970145524,0.155926101625614,0.00882365567038355,0,0.85588944591871,0.518146259048361
327T,0.226017669037055,0.645506876062978,0.048381370585716,0.0663367632055167,0.0137573211087346,0,0.905733513139309,0.537259164735363
328T,0.19496449065935,0.569604991180701,0.0668628761682646,0.16585319090708,0.00271445108460397,0,0.910471442811129,0.453275344569086
329T,0.45011775862035,0.321227038530912,0.0764169684068031,0.126401488471776,0.0258367459701599,0,0.678184440515535,0.736001348901488
330T,0.325831864905591,0.372742449057492,0.130120256460593,0.138626027725825,0.032679401850499,0,0.87565838032688,0.50391016035399
332T,0.421800897152674,0.353202360202457,0.0641580223590632,0.153975485860672,0.0068632344251337,0,0.76129054377001,0.652146309289629
333T,0.181232044147934,0.60591419229744,0.0870381024447308,0.122076568139342,0.00373909297055261,0,0.836929248829995,0.636645965444977
334T,0.697876079839169,0,0.110927434039039,0.183683912756806,0.00751257336498691,0,0.728039830406455,0.933182964815329
335T,0.285727961357961,0.568030292468082,0.0134360856665783,0.123503974483168,0.0093016860242114,0,0.815318029203945,0.639313183022818
336T,0.191276956589445,0.691013702266808,0.0408367441409762,0.0743570211183339,0.00251557588443681,0,0.843775769264768,0.71539073806682
337T,0.326030216583557,0.431521491595412,0.0460132922361659,0.154800478605117,0.0416345209797485,0,0.797077322347911,0.605614570289587
339T,0.120487024790804,0.706197743945777,0.0612673853436868,0.111872434443759,0.000175411475973474,0,0.848520309612152,0.726117735965134
342T,0.234690257004272,0.406148975531618,0.130501582500056,0.213344041672681,0.0153151432913741,0,0.880266203635497,0.483395744083615
345T,0.261165347308845,0.471016550615824,0.0701051784538213,0.19022184655204,0.00749107706946967,0,0.84718175150234,0.535607437915238
346T,0.383394318303754,0.327189008497554,0.0986775424862034,0.16246349618146,0.0282756345310281,0,0.874143698692774,0.536276580403404
347T,0.257294031591108,0.409098771120816,0.1119982613847,0.205460694495652,0.0161482414077238,0,0.83279711307372,0.555281542739855
348T,0.198808440706995,0.597109117036162,0.0551111225249358,0.146197224600218,0.00277409513168837,0,0.918505483902691,0.456114005146254
349T,0.201852362210037,0.626070623074606,0.0718810800551955,0.0924874666537505,0.00770846800641123,0,0.885432318614767,0.561397303319837
350T,0.0796415641127176,0.709661004897346,0.0407103279154813,0.167350866671702,0.0026362364027537,0,0.859272615438672,0.70888161623738
351T,0.193769419476701,0.59090105158414,0.0558650083756124,0.154798804079049,0.00466571648449822,0,0.892660997468012,0.51100518189039
352T,0.44349416170932,0.0383877554532604,0.14914680978161,0.248726561609659,0.120244711446151,0,0.685915115031011,0.878101766581902
353T,0.245325620634884,0.415540877190547,0.13387869430982,0.191082707352396,0.0141721005123532,0,0.812024595354268,0.584112545968742
354T,0.494025930491528,0.187228661082832,0.0891834030781326,0.204053821296914,0.0255081840505937,0,0.429251704826081,0.904408565271447
355T,0.257865218436035,0.470916934358134,0.0468094571627673,0.217306310487793,0.00710207955527041,0,0.86965131742216,0.495992437966451
356T,0.356857017361082,0.407349519039947,0.0731625343026828,0.142681649718551,0.0199492795777372,0,0.818265398258919,0.57576344087883
