Mixture,Immune cluster,Hepatocytes,Fibroblasts,Endothelial Cells,Bi-Potent Cells,P-value,Correlation,RMSE
S1N,0.232494454777683,0.495281041908956,0.0763686361589855,0.168180488705099,0.0276753784492763,0,0.796766003869503,0.633568967504775
S1T,0.213925572018127,0.577808189179177,0.0471846221555223,0.146718121286438,0.0143634953607353,0,0.769619955296835,0.643570233393279
S2N,0.237867544950399,0.393607553314917,0.125493269177371,0.192983680855917,0.0500479517013959,0,0.822111926889284,0.647211135615886
S2T,0.279742830589065,0.441312104917271,0.0727349971140307,0.186641340098782,0.0195687272808516,0,0.768456981258055,0.675549327318338
S3N,0.204164088913766,0.464259722633254,0.12769953729516,0.164525326183075,0.039351324974745,0,0.796467203737005,0.642430094247051
S3T,0.327800836153414,0.439109921449489,0.0942964266618103,0.122138088929954,0.016654726805333,0,0.746256539372954,0.694369985040225
S4N,0.315245252233998,0.418075773765657,0.0871486186952634,0.150708812215173,0.0288215430899086,0,0.79681801374925,0.660742152127233
S4T,0.463706043818499,0.107383885336226,0.217935530576379,0.189994142564545,0.0209803977043514,0,0.65615397342841,0.825877016975924
S5N,0.272953951000228,0.435977892458388,0.0693922682682257,0.183527139764625,0.038148748508533,0,0.808410757383764,0.643258472828408
S5T,0.411473066183054,0.311814113412389,0.0935667791516136,0.117290729978068,0.0658553112748759,0,0.640265230016018,0.794798262508218
S6N,0.224113674651287,0.467668955844502,0.113916031244093,0.16217596307031,0.0321253751898085,0,0.808546937995565,0.631021859936168
S6T,0.287451879884081,0.363994058933595,0.148532282853655,0.144507262248664,0.0555145160800053,0,0.744428223242736,0.715479794830218
S7N,0.2718095844324,0.414006555464459,0.0875360848066944,0.191363768928136,0.0352840063683105,0,0.790700895155506,0.66617975077024
S7T,0.317799414598291,0.424955461138898,0.0573001119715949,0.163183454368147,0.0367615579230692,0,0.721422710076354,0.716695527335744
S8N,0.212554142626704,0.466515934221317,0.0898713515206688,0.198209749209081,0.0328488224222284,0,0.798706932417167,0.640227704629428
S8T,0.273792078993733,0.495890480515658,0.0678885794101233,0.147772360748659,0.0146565003318263,0,0.760782899301801,0.667374039787961
S9N,0.133096472568717,0.481451318965362,0.136508938655902,0.211930894436817,0.0370123753732017,0,0.786009776211941,0.645594366947346
S9T,0.370442092921579,0.388033848594092,0.0824476865239087,0.129323227020681,0.029753144939739,0,0.720995136081134,0.727476728202324
S10N,0.241578427331332,0.336020552811163,0.178442455813096,0.177698819314261,0.0662597447301479,0,0.732846085124747,0.728708160725127
S10T,0.260625075015544,0.565378500307666,0.0482551466404567,0.110747340382136,0.0149939376541978,0,0.757728054422436,0.657522726517232
S11N,0.202911545564547,0.499400846152484,0.0980132728326518,0.172495619265226,0.0271787161850904,0,0.808605310013259,0.620556434088158
S11T,0.309887951216163,0.385896924664567,0.127813461097822,0.142261201818714,0.0341404612027338,0,0.786136624823964,0.680436336486459
S12N,0.256560157051547,0.399243095545418,0.115851647477543,0.189476065064683,0.0388690348608086,0,0.810141066968427,0.655762861016501
S12T,0.393595128547017,0.452350179910727,0.0317477009684109,0.106570015308124,0.0157369752657198,0,0.744031216193541,0.692569008232177
S13N,0.210765036387193,0.490355821509034,0.0796899174256689,0.175198329013713,0.0439908956643903,0,0.79383082010193,0.637029877025218
S13T,0.318108352792957,0.412292845172982,0.0874699831299338,0.107098668676033,0.0750301502280937,0,0.581596611912912,0.814813887357747
S14N,0.176487613133856,0.451068762026606,0.100730804186747,0.207678427763759,0.064034392889032,0,0.793519131822183,0.647461776314812
S14T,0.211387657847948,0.508566947044612,0.0895516869906945,0.166929253918087,0.0235644541986579,0,0.791749738349622,0.634615171584046
S15N,0.196882686926951,0.422231928122208,0.136437101305246,0.18399568797673,0.0604525956688652,0,0.793692870783064,0.65726849074219
S15T,0.248027609586505,0.402933708112591,0.106060060934426,0.17863743532143,0.0643411860450479,0,0.76223910403172,0.6896634170439
S16N,0.273575152586831,0.326504332764439,0.146753834574046,0.207159120601468,0.0460075594732152,0,0.804473500966721,0.68882682157834
