NAME	Other	Hepatocytes	Proliferation	vSMC	Stellate cells	CAFs	Pericytes
AL049839.2	1	1952.56171284722	1	1	1	1	1
AL121594.3	223.413667463442	109.468487085251	240.464246417623	1	1	1	1
AL121845.3	1	105.21482809904	1	1	1	1	1
AL133352.1	1	147.538195844939	253.028546029601	443.102978683502	1	316.383032698381	1
AL136531.2	420.174084273646	1	300.708591609125	1	1	1	436.175282409697
AL159163.1	526.645823860095	1	372.635544191127	1	1	1	1
AL365205.1	227.912287034294	114.5629558887	329.115671427374	1	1	1	1
AL589666.1	1	1	209.497412635543	1	1	1	1
AL645922.1	1	1534.93887438998	1	1	1	1	1
AL645941.2	387.718051531746	1	186.708974238514	1	1	1	1
ALAD	1	139.556441945958	1	1	1	1	1
ALAS1	1	213.760004089439	1	1	1	1	1
ALB	3204.56049712271	91465.3508505337	1783.7392404451	881.220908415505	969.382501834583	1	1
ALDH1A1	1	609.249052973639	1	1	833.173362510578	1	1
ALDH1B1	1	152.927913217157	1	1	1	1	1
ALDH1L1	1	233.964236292076	1	1	1	1	1
ALDH3A2	1	228.649993448953	1	1	1	1	1
ALDH5A1	1	124.166842087381	1	1	1	1	1
ALDH6A1	1	296.07053842543	1	1	1	1	1
ALDH7A1	1	142.120094706425	1	1	1	1	1
ALDH8A1	1	153.121192873777	1	1	1	1	1
ALDH9A1	1	148.084176462741	1	1	1	1	1
ALDOB	1	7822.92314555989	1	1	1	1	1
ALOX5AP	1	1	440.81313954133	1	1	1	1
AMACR	1	105.856350115921	1	1	1	1	1
AMBP	1	5294.77954039611	1	1	1	1	1
ANAPC11	1	120.578431458961	343.008567784999	1	1	1	1
ANAPC16	1	129.160480946571	125.86264953188	442.483918905822	1	1	1
ANGPT2	1	1	1	1	1	1	425.826595319754
ANGPTL2	1	1	1	1	350.265907572679	292.644372317124	1
ANGPTL3	1	603.367065539057	1	1	1	1	1
ANGPTL6	1	1	1	1	460.451358231641	1	1
ANK3	1	1	1	1	455.998634045796	1	1
ANKH	1	65.3225725680518	1	1	1	533.142886833704	1
ANO1	1	1	1	1	1	475.38207893072	570.515195474973
ANP32A	1	1	210.529597893348	1	1	1	1
ANP32E	1	1	397.345718091111	1	1	1	1
ANPEP	1	231.264058956122	1	1	1	1	1
ANTXR1	1	1	1	397.825032580463	458.613037755113	1458.91062876103	778.391475883244
ANTXR2	1	1	1	1	238.400951837415	1	1
ANXA1	378.398995743293	1	447.423782203213	1	673.608774162682	618.150206504463	367.840841747227
ANXA11	219.889608679988	1	222.102853383256	330.32149027196	270.65872119939	1	260.742217792299
ANXA4	536.917918146744	221.482788053545	214.056510401291	1	1	1	1
ANXA6	1	1	1	1	223.403150445361	1	385.177668821281
AOC3	1	1	1	314.239270115968	1	1	1
AOX1	1	539.08147991592	1	1	1	1	1
AP1S2	1	1	246.862149832801	1	1	1	1
AP2M1	241.666969989495	71.9765632255367	241.302669458927	1	216.123619131464	502.976127284473	471.275401131599
AP2S1	215.62535868705	71.6417560651267	326.047680447234	1	1	1	1
AP3D1	1	1	180.335573686132	1	1	1	1
APBB1IP	1	1	130.860911342774	1	1	1	1
APCDD1	1	1	1	1	1	1	535.40110472397
APCS	1	1304.99763627135	1	1	1	1	1
APEX1	1	71.4301759476117	215.580292668097	1	1	1	1
APLP2	510.152130474694	277.787555488962	337.480913406019	633.126264967189	317.203913825471	1	1
APMAP	1	164.480463377536	1	1	1	1	1
APOA1	1	7033.22541083384	1	1	1	1	1
APOA2	1	14924.689404952	1	1	1	1	1
APOA5	1	371.058459261446	1	1	1	1	1
APOB	1	2409.89581195566	1	1	1	1	1
APOBEC3A	1	1	167.303947614525	1	1	1	1
APOBEC3C	1	1	146.167546895038	1	1	1	1
APOC1	977.989449614885	10296.1757286561	518.183172503217	1	1	1	1
APOC3	1	10936.9183900716	1	1	1	1	1
APOC4.APOC2	1	5530.61326338643	1	1	1	1	1
APOF	1	133.467714142742	1	1	1	1	1
APOH	1	8294.09565055898	1	1	1	1	1
APOL1	1	158.728249143859	1	1	382.51229576378	297.617193321774	1
APOLD1	1	1	1	1037.05571922373	1	1	878.090606809091
APOM	1	356.981538391475	1	1	1	1	1
APOO	233.500000699125	1	131.699936338225	380.089581203921	295.94016416507	274.066662837715	1
APP	303.393600128462	108.429333188977	1	1	380.41840048004	374.905192281013	515.281379314416
APRT	1	119.578154265157	240.147042404612	1	1	1	1
