NAME	LVECt	Other	LSEC	Hepatocytes	LVEC	Carcinoma
CAPG	1	394.540959110834	1	1	1	1
CAPN1	1	1	1	1	1	154.503281796928
CAPN2	369.288221787165	1	1	1	1	330.164130421671
CAPZA1	1	285.953408826096	1	1	1	151.105508818215
CAPZA2	259.524689491874	1	289.481344942703	1	252.055126545837	133.769633850623
CAPZB	1	257.573265188142	1	1	1	1
CARHSP1	1	1	1	90.9133955563452	1	1
CAT	1	1	1	588.188085730928	1	1
CAV1	1175.46324995392	1	1	1	820.101095007715	1
CAV2	266.149783512457	1	1	1	312.476941675005	359.091566904326
CAVIN1	1010.91165091756	1	641.808357738944	1	589.482269642093	1
CAVIN2	926.160057031219	1	1169.94621328235	1	1142.76731515823	1
CBR1	1	1	1	139.866580355459	1	1
CBSL	1	1	1	108.976777090388	1	1
CBX3	211.166226539051	1	1	98.5190466801623	244.422158169759	301.064139312553
CCDC50	242.374703594241	1	350.319561477342	1	407.421645245832	1
CCDC88A	1	248.78280351195	1	1	1	1
CCL14	1936.06631823352	1	11902.7500784199	1	4292.29306765591	1
CCL16	1	1	1	93.1816598000697	1	1
CCL3	1	644.631242365662	1	1	1	1
CCL4	1	679.799807771256	1	1	1	1
CCNL1	302.829078540417	1	1	1	1	184.565595126923
CCPG1	1	1	295.718566292825	1	267.975896780998	1
CCT2	1	1	1	1	1	185.845927864129
CCT3	1	1	1	78.3563229255203	234.420771636669	208.155877846236
CCT4	321.976922386417	1	1	92.0450619179663	1	222.667922087491
CCT5	1	1	1	171.260972223616	1	185.311491751177
CCT6A	266.565997997577	1	1	1	253.826871464843	207.806985704686
CCT7	1	1	1	1	1	177.35095864224
CCT8	1	1	1	1	1	181.188183899397
CD14	1	528.766721796136	1323.38205780004	287.232844373127	1	1
CD163L1	1	618.127077850426	1	1	1	1
CD164	1	269.857099353414	1	98.1409875167501	1	248.702351995331
CD24	1	1	1	1	1	1055.78979856565
CD2AP	1	1	1	1	1	182.992099011248
CD302	1	1	1	149.564492660172	1	1
CD320	1	1	1	1	291.178158426279	1
CD34	1173.30393888404	1	1	1	422.277596910365	1
CD36	321.764603067323	1	1966.37016947662	1	770.523828164493	1
CD37	1	334.371285330253	1	1	1	1
CD4	1	478.728704337861	1818.0081444618	1	365.361054369061	1
CD44	1	448.784412409735	1	1	1	1
CD46	329.44486171417	1	1	97.9237219745849	1	276.43565258073
CD47	1	1	1	1	1	196.002373280016
CD52	1	336.713931034228	1	1	1	1
CD53	1	450.871499138596	1	1	1	1
CD55	257.745669252397	1	355.023847636858	1	300.973371491138	1
CD74	2873.98503579832	21706.0283550045	2993.48398264643	300.923249431088	3319.79468700282	680.202686468913
CD83	1	471.690708937963	1	1	1	1
CD84	1	256.651971670143	1	1	1	1
CD9	1435.71209329775	366.29648953146	1	1	1237.73912598926	468.9427565476
CD93	935.356089607225	1	371.916954889254	1	317.082340317936	1
CDC37	404.917538268272	1	1	1	225.069626021025	1
CDC42BPB	269.262527814645	1	253.877435092071	1	1	1
CDC42EP1	1	1	1	1	1	183.440359587105
CDC42EP3	248.753355249644	1	1	1	475.761498705741	1
CDC42EP4	1	1	380.954790691931	1	1	1
CDH1	1	1	1	95.5325080840722	1	394.146009273682
CDH5	754.382519519307	1	513.828233431917	1	380.529021602493	1
CDH6	1	1	1	1	1	221.355056600635
CDO1	1	1	1	223.013819097898	1	1
CEACAM5	1	1	1	1	1	1421.10633699948
CEACAM6	1	1	1	1	1	713.235540459137
CEACAM7	1	1	1	1	1	439.321152939058
CEBPB	1	543.318578835279	1	160.725502660183	1	145.16329205656
CERS2	200.085025972745	1	1	389.500428756086	1	679.665403059986
CES1	1	1	1	149.482571819433	1	1
CES2	1	1	1	237.089199630174	1	1
CETP	1	1	608.684718475479	1	1	1
CFH	392.462172136087	1	1	1226.43785383091	1	198.791749767583
CFHR3	1	1	1	269.802474233993	1	1
CFI	1	1	1	454.725535020034	1	222.700486312426
CFL2	1	1	1	105.054067083693	1	1
CHCHD10	1	306.418247946418	1	483.595138903468	1	366.26550005309
CHD4	217.553177264956	1	1	1	230.43891517683	193.894361833144
CHMP2A	249.471627123599	1	1	98.5225931383568	1	278.403250999355
CHMP4B	1	1	1	1	1	204.785866845413
CHP1	1	1	1	188.880010662384	1	305.637955040748
CHPT1	1	1	1	123.682393461882	1	1
CHST12	1070.99259980773	1	731.775681133818	205.224813645638	1	1
CIB1	1	1	1	114.602953420525	1	209.191585858116
CIDEB	1	1	1	331.972216096391	1	1
CISD3	1	1	1	98.9210137122849	1	1
CITED4	1	1	1	1	1	264.960635805011
CLCN3	1	1	1	1	1	150.318496847627
CLDN1	1	1	1	368.542029244608	1	684.100731907571
CLDN10	1	1	1	1	1	585.071228812814
CLDN3	1	1	1	1	1	409.505852768018
CLDN4	1	1	1	1	1	275.653733434551
CLDN5	888.10969859799	1	475.37692819565	1	432.59517323768	1
CLEC14A	755.352792475379	1	1	1	1442.46363716816	1
CLEC1B	1	1	1891.72761816293	1	1	1
CLEC2B	1	1	387.635066453925	1	282.275861142463	1
CLEC4G	1	1	3179.16586672838	1	1	1
CLEC4M	1	1	1632.87032595629	1	1	1
CLIC4	530.074914851098	1	1	1	193.370357216569	1
CLINT1	1	1	1	1	1	187.156781602986
CLK1	242.91483073485	1	1	1	260.750486422538	1
CLSTN1	1	1	1	1	1	182.578902663462
CLU	543.156347510786	1	1	2392.5181019949	1780.43249948526	1244.33137292831
CMBL	1	1	1	387.790249860786	1	1
CMC1	1	1	1	83.6792587897975	1	1
CMIP	374.555740565593	1	1	1	257.936648634725	1
CMPK1	1	1	1	190.6241526684	1	264.90080982532
CMTM6	184.020528702691	323.641653809736	1	103.47154600786	1	1
CNDP2	1	1	1	134.554927229596	1	1
CNIH1	1	1	1	110.845016049941	1	1
CNN2	1	259.55506459569	1	1	1	172.766877420774
CNN3	1	1	264.707437984956	1	205.161893302187	1
COBLL1	1	1	1	85.9249277957561	1	1
COL15A1	468.374780764036	1	1	1	1	1
COL18A1	439.3052701536	1	1	280.053030038271	1	1
COL1A1	1	2762.53318055019	1	1	1	1
COL1A2	1	2214.11594952564	1	1	1	1
COL3A1	1	2392.75126769794	1	1	1	1
COL4A1	1795.90479197791	668.780200466132	729.380586083949	1	344.780667342467	1
COL4A2	1489.31601542053	682.786102808822	560.489072307338	1	1	1
COMMD1	1	1	1	1	192.160851067286	154.515651022616
COMT	1	1	1	255.025844144302	1	188.509180990382
COPA	1	1	1	59.065018044468	1	210.762247242828
COPB2	1	1	1	1	1	135.490198059689
COPE	1	1	1	68.8625760046226	1	159.109957756214
COPS6	1	1	1	94.2427632615893	1	1
COPS9	225.665248482978	1	1	1	1	164.090692904246
COPZ1	1	1	1	70.0138718126426	1	183.459493160559
COTL1	1	563.248213412934	701.468261037944	1	1	1
COX16	1	1	1	110.805391360903	1	1
COX20	1	1	1	71.3685303304003	1	220.71723024678
COX5A	268.912109189112	1	1	185.161537369818	1	344.923287977538
COX7A2L	1	1	1	64.0118368190964	1	152.179921276017
COX7B	1	235.978520764085	1	258.77419221388	1	490.528573432673
CP	1	1	1	1153.38103479327	1	1
CPB2	1	1	1	546.765809799653	1	1
CPD	1	1	1	1	1	148.61445219601
CPE	1	1	1	1	645.166477843707	1
CPM	1	358.447010797301	1	1	1	1
CPN2	1	1	1	157.250811034958	1	1
CPNE1	1	1	1	1	1	198.926169637336
CPNE2	226.9277423183	1	221.998358370541	1	1	1
CPS1	1	1	1	884.684698336615	1	1
CPVL	1	588.147126168795	1	1	1	1
CREG1	1	477.101300326874	1	198.943175344762	1	165.546599544424
CRHBP	1	1	5051.54775094454	1	1014.9214369761	1
CRIM1	1	1	1	1	207.806911371019	1
CRIP1	676.792090029283	556.220239124257	1	1	1	226.485663981305
CRIP2	1704.65501423472	1	348.858789996179	1	812.862098581801	1
CRK	252.870575947867	1	290.049021329243	1	1	1
CRLS1	1	1	1	94.9666977342871	1	1
CRP	1	1	1	313.08850608323	1	1048.77982046877
CRTAP	263.291549820611	252.299949531822	1	1	301.242088789941	1
CRYL1	1	1	1	131.89146973896	1	1
CRYZ	1	1	1	133.682061741596	1	176.877096794513
CS	1	1	1	1	1	147.499919788788
CSF1R	1	483.208665688309	1	1	1	1
CSNK2B	220.65579689335	1	1	94.7655691579277	1	233.733409509504
CSRNP1	289.648441085339	1	1	1	278.469193157288	1
CST3	460.875602519031	4369.34486006154	663.450616569033	528.068492611229	499.957436588202	765.173525471904
CTAGE5	1	1	1	234.795494008315	1	189.903828076105
CTBP2	1	1	1	1	1	158.12461427927
CTGF	488.482135006406	615.337216516482	1	1	993.366770173084	291.144193758872
CTNNA1	621.642354039096	1	1	110.822474316647	342.554799501941	321.557685715812
CTNNAL1	1	1	1	1	339.781282160753	1
CTNNB1	471.964772169785	1	1	1	1	1
CTNND1	263.845436890383	1	1	82.4108294743814	255.142256695053	284.19727477926
CTSA	1	281.680632001752	343.05318452441	1	1	194.547971176593
CTSB	585.523440910909	3785.0196558149	1274.7734944592	509.322110761929	519.000700460497	555.448736070789
CTSC	1	568.468547728784	1	1	1	454.944800229798
CTSH	1	393.129492106787	1	103.708410414457	1	282.100911480974
CTSL	273.050172865442	495.757314896788	4088.32942909059	71.3154424343354	378.398543114109	1
CTSS	1	1423.6330794234	1	1	1	125.269887129321
CTTNBP2NL	236.12931052276	1	1	1	1	1
CUTA	1	1	1	82.9742999062464	1	194.733630050962
CXADR	1	1	1	110.188076053861	1	193.037739359451
CXCL1	1	1	1	1	1	325.008285292348
CXCL12	740.615795795032	494.467930102147	1	1	1	1
CXCL14	1	1	1	64.8553499615156	1	192.23762504199
CXCL16	1	427.315413080149	995.63637579605	1	1	1
CXCL2	1	1	1	240.361878927871	491.737531964223	251.982208428432
CXCL8	1	433.377670135647	1	1	1	496.001320613374
CXCR4	1	1194.26158449436	1	1	1	1
CXXC5	1	1	1	1	1	161.170813964563
CYB5A	1	1	1	1285.79367339688	1	200.920871337854
CYBA	1	784.533116166468	332.568219944334	1	1	323.200494635904
CYC1	1	1	1	107.521591489137	1	173.271527328245
CYCS	180.86206784613	243.820634611978	1	124.0499534096	1	334.468033961745
CYFIP1	169.210865953646	1	1	1	1	1
CYP1A2	1	1	1	130.710229292346	1	1
CYP27A1	1	1	1	232.112575048294	1	1
CYP2A6	1	1	1	403.349923234022	1	1
CYP2A7	1	1	1	270.069753077855	1	1
CYP2B6	1	1	1	238.786110953625	1	1
CYP2C18	1	1	1	102.476530196285	1	1
CYP2C8	1	1	1	1029.24100962464	1	1
CYP2C9	1	1	1	887.45637717273	1	1
CYP2D6	1	1	1	199.979611653703	1	1
CYP2E1	1	1	1	5997.47392643783	1	1
CYP2J2	1	1	1	89.5418268300801	1	1
CYP3A4	1	1	1	3324.6792232197	1	1
CYP3A5	1	1	1	314.803779326658	1	361.449579605084
CYP3A7.CYP3A51P	1	1	1	164.493931059793	1	1
CYP4A11	1	1	1	669.424484883381	1	1
CYP4A22	1	1	1	189.03164720898	1	1
CYP4F2	1	1	1	182.158163432265	1	1
CYP4F3	1	1	1	145.259193129561	1	1
CYP4V2	1	1	1	86.7876334920049	1	1
CYP51A1	1	1	1	186.57788869396	1	180.458630147159
CYP8B1	1	1	1	255.029315616629	1	1
