NAME	Other	Kupffer cells	TM1	SAMs	T cells	cDC2	cDC1	B cells
ANXA11	242.48300859312	1	1	180.365845116677	1	212.736924071445	133.405211784361	1
ANXA2	1064.79603450109	247.386704570838	785.848155065418	1106.99053743801	1	535.787085721092	531.474882810724	285.34583286637
ANXA4	710.634220216644	1	1	1	1	1	1	1
AOAH	1	1	1	1	1	150.360746644351	1	1
AP1B1	1	1	1	286.765900727777	1	1	1	1
AP1S2	1	1	376.184826588561	1	1	319.798905499599	295.327760408644	1
AP2M1	275.674984706789	1	1	274.796986881837	1	1	1	1
AP2S1	179.578453471869	241.662555237577	1	302.079074152673	1	207.089880752883	284.4283495836	1
AP3D1	1	1	1	1	1	1	246.070921877508	1
APBB1IP	1	1	1	222.641091082015	1	1	1	1
APCS	409.721806354939	1	1	1	1	1	1	1
APEX1	162.180790818006	1	1	1	1	186.745574032723	1	1
APH1A	1	1	1	1	1	1	240.007764789686	1
APLP2	413.124114264107	464.627265589789	804.099947512405	705.051913869035	1	284.001655116351	1	1
APOA1	882.243247260432	1	1	1	1	1	1	1
APOA2	1817.67024850071	327.983312466488	1	1	1	1	1	1
APOB	377.836795745041	1	1	1	1	1	1	1
APOBEC3A	1	1	507.358543464946	1	1	1	1	1
APOBR	1	1	1	1	1	1	230.756859507675	1
APOC1	1329.30279830197	1533.97900403465	1	3494.25298689764	1	471.441960107766	1	1
APOC3	1406.93629882854	343.451620930309	1	1	1	1	1	1
APOC4.APOC2	719.211923231377	1	1	1	1	1	1	1
APOE	737.670163586023	5732.87665436636	466.058383212286	8624.20519744386	1	713.760421021272	1	1
APOH	1099.04512520086	1	1	1	1	1	1	1
APOL1	1	1	1	1	1	1	125.219610224977	1
APOL3	1	1	1	1	1	1	482.851939897643	1
APOL6	1	241.103446742858	1	1	1	1	1	1
APOLD1	357.678393672077	1	1	1	1	1	1	1
APOO	232.874200396836	1	1	242.929805095848	296.421658248856	253.164365978091	139.225946487155	212.388890142954
APP	474.384732907686	1	1	1	1	1	1	1
APRT	162.232893022072	1	1	1	1	1	223.014381060868	1
AQP3	1	1	1	1	1	1	1	197.110636131156
AQP9	1	1	348.363933734125	1	1	1	1	1
ARCN1	1	1	1	1	1	1	1	230.526607944986
AREG	1	1	1921.09528495204	1	547.760427626548	2133.22940200259	361.949165470569	486.555993287522
ARF4	237.025512363064	1	1	1	1	1	1	508.751568386793
ARF5	1	1	1	1	1	1	165.596509475675	1
ARF6	1	1	1	1	295.820674950763	197.31342706708	304.625896889773	170.820376660179
ARGLU1	253.410596119561	1	1	1	1	1	1	1
ARHGAP18	1	1	1	233.503374340038	1	1	1	1
ARHGAP30	1	1	1	1	331.773169870089	1	197.988171469792	1
ARHGAP31	1	1	1	1	1	1	94.8315494032027	1
ARHGDIA	253.71022415215	245.794172508958	1	283.817380113489	334.270748587401	172.777660920644	197.409281895671	1
ARHGEF12	194.414294914774	1	1	1	1	1	1	1
