Mixture,Central_venous_LSECs,Cholangiocytes,Other,Hepatocyte,Portal_endothelial_Cells,Periportal_LSECs,Hepatic_Stellate_Cells,Erythroid_Cells,P-value,Correlation,RMSE
TCGA-DD-A4NH-01,0.122529667396873,0.139604697267199,0.383162976736848,0.230258291909443,0.0414724762204465,0.015193068070434,0.0259389451537727,0.0418398772449835,0,0.900014352489617,0.538305118367395
TCGA-EP-A12J-01,0.0360778293566692,0.0351507491598669,0.169675714225331,0.649143285825362,0.0614514774598677,0.0113176035144413,0.00367504624221011,0.0335082942162518,0,0.88541048814722,0.466995864362813
TCGA-CC-5262-01,0.0926529518814251,0.10913706393824,0.276961670339687,0.389841664388168,0.0292242668830542,0.0394856259205494,0.0296038709511993,0.0330928856976774,0,0.848453130187105,0.54613989459157
TCGA-ZS-A9CD-01,0.0751738462752279,0.0326387408256478,0.248443055266917,0.49625505485232,0.0500468394483802,0.0541658332909208,0.0191185261689463,0.0241581038716409,0,0.810938885417407,0.594803118670863
TCGA-DD-AAE9-01,0.0382262471472188,0.0126474562582443,0.274680872249078,0.584777914143403,0.0419751821245918,0.00675657960441952,0.00363710738579022,0.0372986410872546,0,0.891550288458718,0.467772447180999
TCGA-BD-A2L6-01,0.0700428375874984,0.0682942356883403,0.175485275359838,0.616257165000212,0.0104930788928489,0.00748727535260402,0.00701108547572891,0.0449290466429295,0,0.944544581821627,0.332966183174544
TCGA-DD-AAEI-01,0.033123346682108,0.0955323994054347,0.219459368553074,0.574946644140558,0.0344003517104234,0,0.00931054656180087,0.0332273429466008,0,0.904728940294881,0.427647610640775
TCGA-2Y-A9H3-01,0.0381158416299862,0.106796659843062,0.280375361659852,0.496292014361298,0.0099710060857588,0.0417517061245407,0.0133105569233484,0.0133868533721543,0,0.91322394216003,0.416951185459054
TCGA-2Y-A9GV-01,0.0833517558883832,0.00981923573216152,0.2106135429496,0.622008164455222,0.0140053888860894,0.0314830614573534,0.0055712143379447,0.0231476362932461,0,0.831558139395356,0.556836598663864
TCGA-DD-AADS-01,0.00394840927931652,0.112151358474963,0.14769129173617,0.633786816775778,0.0409674765930528,0.0206630791038788,0.00637669758755397,0.0344148704492874,0,0.92533196707465,0.391027822491012
