Mixture,Other,Kupffer cells,TM1,SAMs,T cells,cDC2,cDC1,B cells,P-value,Correlation,RMSE
S1N,0.577933747389046,0.130819009112166,0.027330817513146,0.0148508026822632,0.0694344524387259,0.134607154464883,0.0190145550203252,0.0260094613794446,0,0.716616100512011,0.788222315060503
S1T,0.550068025737735,0.0193273653000334,0.0014850902390999,0.1443945663107,0.0609808545794577,0.109146675680061,0.082018929911447,0.0325784922414653,0,0.664385245786805,0.811753689213123
S2N,0.542031466228794,0.122217957967547,0.0367909920646919,0.0954684901434785,0.0818735259226291,0.0899111616746496,0.0210418398016151,0.0106645661965946,0,0.799958043532804,0.755234771464988
S2T,0.553711921403248,0.0532686864301799,0,0.112924596419642,0.055450807958886,0.125429050286593,0.0694389299480705,0.029776007553381,0,0.667616166124512,0.810895305418377
S3N,0.581066122649438,0.0491744031136748,0.022691118836689,0.0744154844438127,0.0913560988057768,0.15869635716886,0.00856787289061859,0.0140325420911299,0,0.731171861896896,0.785329074296306
S3T,0.505269012973358,0.0222896534820818,0.000283790938698793,0.0889036021660541,0.080721524257077,0.187247284483817,0.0599299243667236,0.055355207332189,0,0.674241751024659,0.808392152092305
S4N,0.510383508999834,0.117184354396767,0.0405159535521178,0.0796398312379545,0.0835361434848582,0.121844024376553,0.0344704658021185,0.012425718149797,0,0.721787973801651,0.795131075979672
S4T,0.326813946353332,0.0836377681403784,0.0768607995048403,0.308435211190036,0.0229087098531859,0.118453468023096,0.0420697228731422,0.0208203740619891,0,0.588591686170692,0.847289979704334
S5N,0.504973054104276,0.129166200556771,0.0237256646881749,0.052465437998536,0.106592457023048,0.162979510230175,0.00254598398834322,0.0175516914106765,0,0.732867685425843,0.791812199551483
S5T,0.446653800362034,0,0.0291681578526249,0.173124436804639,0.0620456573018405,0.176239323139095,0.0842630482827668,0.0285055762570002,0,0.621532541464272,0.839003766341524
S6N,0.583875585297147,0.0595120386382795,0.0289532317257184,0.101605735425223,0.0611489073042833,0.120347214493091,0.0248342030100454,0.0197230841062131,0,0.745081077776533,0.775679865549221
S6T,0.552600515955798,0,0.011130469045761,0.160458610439925,0.0456964437653779,0.137933058767547,0.080056936891923,0.0121239651336675,0,0.712070168960871,0.793511942446888
S7N,0.539329229905909,0.139065694142017,0.0397989227021877,0,0.0700506851114457,0.192081825564009,3.30892549003553e-05,0.0196405533195311,0,0.750617781122621,0.780168673756641
S7T,0.571300929280169,0.00945060828608652,0.00740000645438597,0.138433224436873,0.0521757903719126,0.162711290868571,0.0461558950003998,0.0123722553016019,0,0.662037672604935,0.814045215456119
S8N,0.562711504266394,0.149205702677728,0.0362565210994753,0.0656457503128264,0.0656192491185325,0.103803055189921,0.00187431470135571,0.0148839026337665,0,0.725431155570407,0.78397993865513
S8T,0.52708566623953,0.0180224964591584,0,0.111998615010412,0.0755648416231185,0.212874935435221,0.0536543751186794,0.000799070113880598,0,0.674093781862677,0.815833452732423
S9N,0.618322002278458,0.0810323172427558,0.0196353526263291,0.0378858224171985,0.0545803201564089,0.168849881075798,0.00618543536158525,0.0135088688414666,0,0.759995416932872,0.765907163961915
S9T,0.473479769192762,0,0.00883837374476557,0.239184466587738,0.0551636615000828,0.124541630871129,0.0680245135113804,0.0307675845921426,0,0.625702923335863,0.832360930140141
S10N,0.542743186270768,0.0468017718321657,0.0246594944866463,0.059789110467706,0.106120169080942,0.183292211352764,0.0240084292161928,0.0125856272928151,0,0.727854227564486,0.793502953257038
S10T,0.54309577317138,0.000391721018283006,0.024816688108965,0.0959689206906472,0.101727195972969,0.204067622791098,0.0299320782466589,0,0,0.636808411718561,0.830333029456278
S11N,0.605721408856548,0.0443155981215287,0.0246320154726542,0.0906044759719152,0.0644880258797063,0.139086247516686,0,0.0311522281809614,0,0.709999086675891,0.787323550235418
S11T,0.530049669194585,0.0229881449809588,0.0201582402136517,0.14418195312377,0.0802089205237293,0.111902844569434,0.0695387878040623,0.0209714395898088,0,0.740029326173882,0.78489759032753
S12N,0.506790173343688,0.100869429135446,0.0319077879617349,0.0647469263085565,0.100295343329584,0.145901597425455,0.0281155687026974,0.0213731737928389,0,0.750719922675165,0.784937409298966
S12T,0.4404214362646,0.0313052097558303,0.0287064469653083,0.0910443374557592,0.12863733294484,0.169824388038807,0.0721544637477651,0.0379063848270895,0,0.657012811311454,0.827481309961959
S13N,0.583519061010803,0.054350704282146,0.0146493682606351,0.0775974905778495,0.0479820612317324,0.172703614202411,0.0221526326465885,0.0270450677878347,0,0.703919579038408,0.793851330648303
S13T,0.499141447534653,0,0.00403947424205654,0.165832864986593,0.120971202607428,0.117676786091053,0.0923382245382157,0,0,0.573328126380673,0.856056726348564
S14N,0.549643946646193,0.0821671299563973,0.0359187575428431,0.143572293394516,0.0652571594771727,0.0869860806079945,0.0216354506945314,0.0148191816803521,0,0.739482295734269,0.78023137589183
S14T,0.539885667744542,0.0067680546819311,0.01419760261616,0.147335495167772,0.0552852442853959,0.156040933926011,0.0570726567763572,0.0234143448018305,0,0.720503674919445,0.79152185827322
S15N,0.5424118251531,0.0795179411560136,0.0575222469458841,0.0614463526104041,0.0812215133306828,0.137275127441055,0.0254504944772529,0.0151544988856075,0,0.741494085166861,0.785428012949351
S15T,0.57478959891876,0.0146230971962402,0.0557403847878162,0.199995664138344,0.0142872095057988,0.0433999042320002,0.0640324618862629,0.0331316793347772,0,0.69881307787094,0.790190996341894
S16N,0.530400237754692,0.0742635362888704,0.100369045335317,0.0788794081514594,0.0733581639341571,0.116683035137275,0.00430954210361118,0.0217370312946179,0,0.777792243016977,0.769043840377299
S16T,0.582712503347965,0,0.0100573643403603,0.209375728461642,0.00840982671285394,0.0693181830263746,0.0873985182254152,0.0327278758853893,0,0.606498471939152,0.830549457440865
S17N,0.551074250658624,0.0679759202875665,0.0347912028807372,0.0391740670498571,0.0736593813113546,0.195671613917889,0.0085626794046448,0.0290908844893275,0,0.681918044252184,0.80845221949384
S17T,0.55868824252333,0.00127141315915074,0,0.113566767560327,0.0435251761097449,0.182204836807638,0.069502704088814,0.0312408597509951,0,0.629405169318593,0.827121642003023
S18N,0.54898968395287,0.144309427714787,0.0501937897043391,0.0830508951717695,0.0442721137445102,0.0956355814942395,0.0100333103237044,0.0235151978937807,0,0.724612104442178,0.783891817468013
